class	invLeft	invRight	invTop	invBottom	gridX	gridY	gridLeft	gridRight	gridTop	gridBottom	gridBoxWidth	gridBoxHeight	rArmLeft	rArmRight	rArmTop	rArmBottom	rArmWidth	rArmHeight	torsoLeft	torsoRight	torsoTop	torsoBottom	torsoWidth	torsoHeight	lArmLeft	lArmRight	lArmTop	lArmBottom	lArmWidth	lArmHeight	headLeft	headRight	headTop	headBottom	headWidth	headHeight	neckLeft	neckRight	neckTop	neckBottom	neckWidth	neckHeight	rHandLeft	rHandRight	rHandTop	rHandBottom	rHandWidth	rHandHeight	lHandLeft	lHandRight	lHandTop	lHandBottom	lHandWidth	lHandHeight	beltLeft	beltRight	beltTop	beltBottom	beltWidth	beltHeight	feetLeft	feetRight	feetTop	feetBottom	feetWidth	feetHeight	glovesLeft	glovesRight	glovesTop	glovesBottom	glovesWidth	glovesHeight
Assassin	320	640	0	441	10	6	339	628	212	385	29	29	340	395	28	140	55	112	453	509	77	159	56	82	562	617	28	140	55	112	456	510	8	59	54	51	526	549	36	60	23	24	416	439	180	204	23	24	530	553	180	204	23	24	457	509	179	204	52	25	572	628	155	205	54	52	341	395	153	206	54	53
Amazon2	400	720	60	501	10	6	419	708	272	445	29	29	420	475	88	200	55	112	533	589	137	219	56	82	642	697	88	200	55	112	536	590	68	119	54	51	606	629	96	120	23	24	496	519	240	264	23	24	610	633	240	264	23	24	537	589	239	264	52	25	652	706	215	267	54	52	421	475	213	266	54	53
Sorceress2	400	720	60	501	10	6	419	708	272	445	29	29	420	475	88	200	55	112	533	589	137	219	56	82	642	697	88	200	55	112	536	590	68	119	54	51	606	629	96	120	23	24	496	519	240	264	23	24	610	633	240	264	23	24	537	589	239	264	52	25	652	706	215	267	54	52	421	475	213	266	54	53
Necromancer2	400	720	60	501	10	6	419	708	272	445	29	29	420	475	88	200	55	112	533	589	137	219	56	82	642	697	88	200	55	112	536	590	68	119	54	51	606	629	96	120	23	24	496	519	240	264	23	24	610	633	240	264	23	24	537	589	239	264	52	25	652	706	215	267	54	52	421	475	213	266	54	53
Paladin2	400	720	60	501	10	6	419	708	272	445	29	29	420	475	88	200	55	112	533	589	137	219	56	82	642	697	88	200	55	112	536	590	68	119	54	51	606	629	96	120	23	24	496	519	240	264	23	24	610	633	240	264	23	24	537	589	239	264	52	25	652	706	215	267	54	52	421	475	213	266	54	53
Barbarian2	400	720	60	501	10	6	419	708	272	445	29	29	420	475	88	200	55	112	533	589	137	219	56	82	642	697	88	200	55	112	536	590	68	119	54	51	606	629	96	120	23	24	496	519	240	264	23	24	610	633	240	264	23	24	537	589	239	264	52	25	652	706	215	267	54	52	421	475	213	266	54	53
Monster2	80	401	60	502	10	10	96	385	123	412	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 1-2	80	401	60	279	10	4	100	385	101	208	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 2-2	80	401	280	502	10	4	100	385	315	428	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bank Page2	80	401	280	502	10	10	96	385	142	431	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Transmogrify Box2	80	401	280	502	3	4	198	285	199	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Guild Vault Page2	80	401	280	502	10	4	96	383	259	373	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trophy Case Page2	80	401	280	502	10	4	96	383	259	373	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Big Bank Page2	80	401	280	502	10	10	96	385	142	431	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hireling2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	29	100	155	64	176	55	112	216	272	126	209	56	83	331	387	64	176	56	112	216	271	63	119	55	56	288	313	92	118	25	26	173	198	181	207	25	26	288	313	182	208	25	26	216	271	214	238	55	24	331	386	183	239	55	56	100	155	181	238	55	57
Druid2	400	720	60	501	10	6	419	708	272	445	29	29	420	475	88	200	55	112	533	589	137	219	56	82	642	697	88	200	55	112	536	590	68	119	54	51	606	629	96	120	23	24	496	519	240	264	23	24	610	633	240	264	23	24	537	589	239	264	52	25	652	706	215	267	54	52	421	475	213	266	54	53
Assassin2	400	720	60	501	10	6	419	708	272	445	29	29	420	475	88	200	55	112	533	589	137	219	56	82	642	697	88	200	55	112	536	590	68	119	54	51	606	629	96	120	23	24	496	519	240	264	23	24	610	633	240	264	23	24	537	589	239	264	52	25	652	706	215	267	54	52	421	475	213	266	54	53
