Prop	Par	Min	Max	PropParType	ScoreMin	ScoreMax	ScoreLim	MinLvl	MaxLvl	LvlScale	NoTypeOvr	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	Group	SynergyGroup	SourceItem	SourceFile	eol
ama		1	3	r	30	150						ama									125	skills	M'avina's Battle Hymn	Sets	0
ass		1	3	r	35	210												ass			125	skills	Natalya's Odium	Sets	0
ass		1	3	r	30	150						ass									125	skills	Natalya's Odium	Sets	0
att	0	10	450	r=	1	45	5														110		Griswold's Legacy	Sets	0
att	0	450	632	r=	45	63	5					8rx									110		RandomizeAdd8		0
att-dem/lvl	5	0	0	lvl		4	3														123		Guardian Angel	UniqueItems	0
att-demon	0	100	300	r=	5	15	3														123		Dark Clan Crusher	UniqueItems	0
att-skill	47	10	0	s		25															44		Hellslayer	UniqueItems	0
att-skill	47	10	6	scl		5															44		Todesfaelle Flamme	UniqueItems	0
att-skill	53	5	0	scl		13															44		Lightsabre	UniqueItems	0
att-skill	Charged Bolt	20	20	scl		50		65													44		Last Wish	Runes	0
att-skill	Frozen Orb	16	21	scl		100		53													44		Rift	Runes	0
att-skill	Glacial Spike	25	18	scl		50		55													44		Death	Runes	0
att-skill	Nova	15	22	scl		50		65													44		Destruction	Runes	0
att-und/lvl	20	0	0	lvl		2	15														142		The Vile Husk	UniqueItems	0
att-undead	0	40	350	r=	1	2	15														142		Bladebone	UniqueItems	0
att/lvl	24	0	0	lvl		12	15														111		Angelic Halo	SetItems	0
att%	0	10	300	r=	10	120	15														111		Aldur's Watchtower	Sets	0
aura	Concentration	1	30	smm	90	900		18				weap	armo								254		Pride	Runes	0
aura	Conviction	1	30	smm	135	900		30				weap	armo								254		Infinity	Runes	0
aura	Defiance	1	30	smm	44	228	5	6				weap	armo	pala							254		Exile's Path	Runes	0
aura	Fanaticism	1	30	smm	75	900		30				weap	armo	miss							254	dmg	The Beast	Runes	0
aura	fanaticism	1	30	smm	75	900		30				weap	armo	miss							254	dmg	The Beast	Runes	0
aura	Holy Fire	1	30	smm	16	125		6				weap  	armo								254		Hand of Justice	Runes	0
aura	Holy Freeze	1	30	smm	15	250		18				weap	armo								254		Ice	Runes	0
aura	Holy Shock	1	30	smm	41	500		24				weap	armo								254		Dream	Runes	0
aura	Meditation	1	30	smm	150	400		24				weap	armo								254		Insight	Runes	0
aura	Might	1	30	smm	40	330						weap	armo								254		Last Wish	Runes	0
aura	Redemption	1	30	smm	20	75		30				weap	armo								254		Phoenix	Runes	0
aura	Sanctuary	1	30	smm	12	160		24				weap	armo								254		Lawbringer	Runes	0
aura	Thorns	1	30	smm	25	141		6				weap	armo								254		Bramble	Runes	0
aura	Vigor	1	30	smm	13	48		18				weap	armo								254		Harmony	Runes	0
balance1		10	10	r=	4	4															17	block	Cathan’s Visage	SetItems	0
balance2	0	10	55	r=	4	22															17	block	Culwens Point	UniqueItems	0
balance3	0	10	55	r=	4	22															17	block	Aldur's Stony Gaze	SetItems	0
bar		1	3	r	35	210												bar			125	skills	Immortal King	Sets	0
bar		1	3	r	30	150						bar									125	skills	Immortal King	Sets	0
block	0	10	55	r=	1	5	15														7	block	Twitchthroe	UniqueItems	0
block2	0	10	65	r=	1	7	15														7	block	Pelta Lunata	UniqueItems	0
block3	0	30	40	r=	3	4	15														255	block	Heaven's Taebaek	SetItems	0
bloody	0	3	5	r	0	0															202		Swordback Hold	UniqueItems	0
cast1	0	10	20	r=	10	20															8		Spellsteel	UniqueItems	0
cast2	0	10	50	r=	10	50															8		Maelstromwrath	UniqueItems	0
cast3	0	20	50	r=	20	50															8		Irices Shard	UniqueItems	0
charged	48	80	15	sch		1															44		Baezil's Vortex	UniqueItems	0
charged	51	20	10	sch		1															44		Todesfaelle Flamme	UniqueItems	0
charged	52	45	10	sch		5															44		Todesfaelle Flamme	UniqueItems	0
charged	53	60	7	sch		1															44		Holy Thunder	Runes	0
charged	54	20	1	sch		5															44		Spellsteel	UniqueItems	0
charged	54	69	11	sch		6															44		Naj's Puzzler	SetItems	0
charged	56	60	11	sch		1															44		Moonfall	UniqueItems	0
charged	62	36	6	sch		1															44		Hexfire	UniqueItems	0
charged	64	50	9	sch		2															44		Sureshrill Frost	UniqueItems	0
charged	66	3	8	sch		2															44		The Gavel of Pain	UniqueItems	0
charged	72	18	6	sch		1															44		Smoke	Runes	0
charged	74	12	4	sch		1															44		Black	Runes	0
charged	74	40	5	sch		1															44		Corpsemourn	UniqueItems	0
charged	83	40	6	sch		0															44		Radimant's Sphere	UniqueItems	0
charged	83	27	15	sch		1															44		Venom	Runes	0
charged	87	30	3	sch		6															44		Spellsteel	UniqueItems	0
charged	92	11	13	sch		2															44		Venom	Runes	0
charged	101	100	10	sch		0															44		Spellsteel	UniqueItems	0
charged	101	200	20	sch		0															44		Boneslayer Blade	UniqueItems	0
charged	150	30	13	sch		1															44		Blackhand Key	UniqueItems	0
charged	225	60	12	sch		1															44		Spellsteel	UniqueItems	0
charged	240	127	13	sch		1															44		Wind	Runes	0
charged	264	30	5	sch		0															44		Darksight Helm	UniqueItems	0
charged	264	9	13	sch		0															44		Nadir	Runes	0
charged	278	20	3	sch		5															44		Andariel's Visage	UniqueItems	0
charged	Attract	60	17	sch		1															44		Delirium	Runes	0
charged	Blizzard	12	16	sch		1															44		Nord's Tenderizer	UniqueItems	0
charged	BloodGolem	9	22	sch		3		15													44		Death	Runes	0
charged	Bone Prison	13	33	sch		0															44		Marrowwalk	UniqueItems	0
charged	Clay Golem	16	16	sch		4															44		Stone	Runes	0
charged	Corpse Explosion	30	14	sch		2		20													44		Bonehew	UniqueItems	0
charged	Cyclone Armor	30	21	sch		5															44		Infinity	Runes	0
charged	Enchant	20	23	sch		5		20													44		Demonlimb	UniqueItems	0
charged	Heart of Wolverine	12	3	sch		3															44		Passion	Runes	0
charged	Heart of Wolverine	13	5	sch		5		15													44		Wisp	UniqueItems	0
charged	Heart of Wolverine	20	16	sch		8		20													44		Oath	Runes	0
charged	Hydra	10	30	sch		5		20													44		Hellfire Torch	UniqueItems	0
charged	Immolation Arrow	150	18	sch		1															44		Hellrack	UniqueItems	0
charged	Iron Maiden	20	12	sch		2															44		Metalgrid	UniqueItems	0
charged	Iron Maiden	40	15	sch		2															44		Rift	Runes	0
charged	IronGolem	11	22	sch		3															44		Metalgrid	UniqueItems	0
charged	Life Tap	10	12	sch		4															44		Marrowwalk	UniqueItems	0
charged	Molten Boulder	80	16	sch		1															44		Stone	Runes	0
charged	Oak Sage	15	2	sch		2															44		Wisp	UniqueItems	0
charged	Oak Sage	25	4	sch		2															44		Heart of the Oak	Runes	0
charged	Oak Sage	27	5	sch		2															44		Nature's Peace	UniqueItems	0
charged	Plague Javelin	60	11	sch		1															44		Gargoyle's Bite	UniqueItems	0
charged	Plague Poppy	15	21	sch		3															44		Carrion Wind	UniqueItems	0
charged	Raven	15	8	sch		1															44		Cranebeak	UniqueItems	0
charged	Raven	60	14	sch		1															44		Heart of the Oak	Runes	0
charged	Revive	30	5	sch		2															44		Bloodraven's Charge	UniqueItems	0
charged	Revive	88	8	sch		3															44		Eternity	Runes	0
charged	Revive	25	20	sch		3															44		Harmony	Runes	0
charged	Slow Missiles	60	12	sch		1															44		Sanctuary	Runes	0
charged	Spirit of Barbs	11	7	sch		2															44		Wisp	UniqueItems	0
charged	Spirit of Barbs	33	13	sch		3															44		Bramble	Runes	0
charged	Summon Fenris	18	15	sch		2															44		Wolfhowl	UniqueItems	0
charged	Summon Grizzly	5	13	sch		2		20													44		The Beast	Runes	0
charged	Summon Spirit Wolf	30	18	sch		2															44		Crescent Moon	Runes	0
charged	Venom	11	3	sch		5															44		Arachnid Mesh	UniqueItems	0
charged	Volcano	30	14	sch		1															44		Earthshifter	UniqueItems	0
cheap	0	10	15	r=	20	30															203		Gheed's Fortune	UniqueItems	0
cold-len	0	75	250	r=	0	0															137		Gravenspine	UniqueItems	0
cold-max	0	2	14	r=	1	11.2															204	cold	Gravenspine	UniqueItems	0
cold-min	0	1	6	r=	2	6															9	cold	Gravenspine	UniqueItems	0
*coldskill		1	3	smm	12	36															125	skills	Leaf	Runes	0
*coldskill		-2	-1	c	-120	-50															125	skills	Leaf	Runes	0
crush	0	5	75	r=	20	150															205	dmg	The Gnasher	UniqueItems	0
deadly	0	15	100	r=	30	200															206	dmg	Steelgoad	UniqueItems	0
deadly/lvl	12	0	0	lvl		150															206	dmg	Headstriker	UniqueItems	0
death-skill	Blizzard	100	37	scl		0															207		Rainbow Facet	UniqueItems	0
death-skill	Chain Lightning	100	44	scl		0															207		Death	Runes	0
death-skill	Chain Lightning	100	47	scl		0															207		Rainbow Facet	UniqueItems	0
death-skill	Meteor	100	31	scl		0															207		Rainbow Facet	UniqueItems	0
death-skill	Meteor	100	45	scl		0															207		Destruction	Runes	0
death-skill	Meteor	100	48	scl		0															207		Hand of Justice	Runes	0
death-skill	Nova	100	44	scl		0															207		Medusa's Gaze	UniqueItems	0
death-skill	Poison Nova	100	51	scl		0															207		Rainbow Facet	UniqueItems	0
demon-heal	0	5	20	r=	2	10															208		Dark Clan Crusher	UniqueItems	0
dex	0	2	35	r=	2	35	5														16		Gravenspine	UniqueItems	0
dex/lvl	4	0	0	lvl		15	5														42		Blackoak Shield	UniqueItems	0
dmg	0	10	120	r	30	360															14	dmg	Stone Crusher	UniqueItems	0
dmg	0	340	400	r	1020	1200		59													14	dmg	Grief runeword (Widowmaker)		0
dmg-ac	0	-100	-50	r=	4	2															4	dmg	Woestave	UniqueItems	0
dmg-cold		1	60	r	11	70						weap									10	cold	Rainbow Facet	UniqueItems	0
dmg-cold		1	60	r	11	70												weap			10	cold	Rainbow Facet	UniqueItems	0
dmg-cold		60	500	r	70	110		25				weap									10	cold	Rainbow Facet	UniqueItems	0
dmg-cold		60	500	r	70	110		25										weap			10	cold	Rainbow Facet	UniqueItems	0
dmg-dem/lvl	15	0	0	lvl		45															209		Widowmaker	Runes	0
dmg-demon	0	25	380	r=	12	190				Y		weap									209		Dark Clan Crusher	UniqueItems	0
dmg-demon	0	25	380	r=	12	190												weap			209		Dark Clan Crusher	UniqueItems	0
dmg-elem	33	5	60	r	15	180															210	ele	Hellrack	UniqueItems	0
dmg-elem	33	5	60	r	15	180															210	ele	Hellrack	UniqueItems	0
dmg-elem	33	60	500	r	180	300															210	ele	Famine	Runes	0
dmg-elem	33	60	500	r	180	300															210	ele	Hellrack	UniqueItems	0
dmg-fire		1	60	r	1	60						weap									12	fire	Brainhew	UniqueItems	0
dmg-fire		1	60	r	1	60												weap			12	fire	Brainhew	UniqueItems	0
dmg-fire		60	500	r	60	125		25				weap									12	fire	Brainhew	UniqueItems	0
dmg-fire		60	500	r	60	125		25										weap			12	fire	Brainhew	UniqueItems	0
dmg-ltng		1	60	r	1	60						weap									13	ltng	The Chieftan	UniqueItems	0
dmg-ltng		1	60	r	1	60												weap			13	ltng	The Chieftan	UniqueItems	0
dmg-ltng		60	1000	r	60	250		25				weap									13	ltng	The Chieftan	UniqueItems	0
dmg-ltng		60	1000	r	60	250		25										weap			13	ltng	The Chieftan	UniqueItems	0
dmg-mag	0	1	50	r	1	60															211	mag	Azurewrath	UniqueItems	0
dmg-mag	0	50	500	r	60	150		37													211	mag	Ginther's Rift	UniqueItems	0
dmg-max	0	3	125	r=	6	100															13	dmg	Goreshovel	UniqueItems	0
dmg-min	0	1	60	r=	2	60															14	dmg	Deathspade	UniqueItems	0
dmg-norm	0	3	100	r	3	100															212	dmg	Rusthandle	UniqueItems	0
dmg-pois	50	125	255	rt	20	42		43													16	pois	Rainbow Facet	UniqueItems	0
dmg-pois	70	30	255	rt	6	54															16	pois	Serpent Lord	UniqueItems	0
dmg-pois	75	30	200	rt	7	45															16	pois	Serpent Lord	UniqueItems	0
dmg-pois	80	25	25	rt	6	6															16	pois	Infernal Tools	Sets	0
dmg-pois	100	100	460	rt	28	128		26													16	pois	The Jade Tan Do	UniqueItems	0
dmg-pois	150	192	500	rt	70	183															16	pois	Blacktongue	UniqueItems	0
dmg-pois	175	312	312	rt	125	125		49													16	pois	Venom	Runes	0
dmg-pois	200	102	500	rt	44	217															16	pois	Wormskull	UniqueItems	0
dmg-pois	250	256	500	rt	125	244		46													16	pois	Guardian Naga	UniqueItems	0
dmg-to-mana	0	5	50	r=	2	25															107		Howltusk	UniqueItems	0
dmg-und/lvl	60	0	0	lvl		120															212		The Vile Husk	UniqueItems	0
dmg-undead	0	25	250	r=	9	77				Y		weap									212		Bladebone	UniqueItems	0
dmg-undead	0	25	250	r=	9	77												weap			212		Bladebone	UniqueItems	0
dmg-undead	0	200	300	r=	67	100		25		Y		weap									212		RandomizeAdd9		0
dmg-undead	0	200	300	r=	67	100		25										weap			212		RandomizeAdd9		0
dmg/lvl	25	0	0	lvl		234															111	dmg	Headstriker	UniqueItems	0
dmg%	0	5	30	r=	5	30						armo						shld			105	dmg	War Bonnet	UniqueItems	0
dmg%	0	5	80	r=	5	80						shld	glov								105	dmg	Alma Negra	UniqueItems	0
dmg%	0	5	30	r=	3	15				Y		weap									105	dmg	The Gnasher	UniqueItems	0
dmg%	0	30	250	r=	30	250				Y		weap									105	dmg	The Gnasher	UniqueItems	0
dmg%	0	250	430	r=	250	430		29		Y		weap	fset								105	dmg	RandomizeAdd10		0
dmg%/lvl	24	0	0	lvl		75				Y		weap									105	dmg	Hellslayer	UniqueItems	0
dru		1	3	r	35	210												dru			125	skills	Aldur's Watchtower	Sets	0
dru		1	3	r	30	150						dru									125	skills	Aldur's Watchtower	Sets	0
dur	0	8	250	r=	0	3												thro			213		Steelgoad	UniqueItems	0
ease	0	-100	-10	r=	5	1	7														30		Steeldriver	UniqueItems	0
ease	0	10	30	c	-10	-30															30		The Humongous	UniqueItems	0
enr	0	2	50	r=	1	25															23	mana	Iros Torch	UniqueItems	0
ethereal		1	1	s	0	0															214	dmg	Ethereal Edge	UniqueItems	0
explosivearrow		3	15	smm	3	15						miss									215	dmg	Rimeraven	UniqueItems	0
extra-cold	0	3	50	r	3	125															216	cold	Nightwing's Veil	UniqueItems	0
extra-fire	0	3	50	r	3	125															217	fire	Dragonscale	UniqueItems	0
extra-ltng	0	3	50	r	3	125															218	ltng	Griffon's Eye	UniqueItems	0
extra-pois	0	3	50	r	3	125															219	pois	Rainbow Facet	UniqueItems	0
fade		1	1	s		0		22				fset									220	ac	Natalya's Odium	Sets	0
fire-max	0	6	54	r=	6	43.2															221	fire	Bladebone	UniqueItems	0
fire-min	0	3	23	r=	6	23															11	fire	Bladebone	UniqueItems	0
fireskill		1	3	smm	12	36															125	skills	Leaf	Runes	0
fireskill		-2	-1	c	-120	-50															125	skills	Leaf	Runes	0
freeze	0	1	4	r	10	11															224		Fechmars Axe	UniqueItems	0
gethit-skill	38	2	0	scl		0		78													44		Stormspire	UniqueItems	0
gethit-skill	38	25	3	scl		1		49													44		Stormspike	UniqueItems	0
gethit-skill	38	12	4	scl		0		30													44		Immortal King's Forge	SetItems	0
gethit-skill	38	15	5	scl		0		49													44		Stormrider	UniqueItems	0
gethit-skill	42	10	3	scl		2		30													44		Hwanin's Refuge	SetItems	0
gethit-skill	42	25	5	scl		5		20													44		Cow King's Leathers	Sets	0
gethit-skill	44	10	5	scl		2		44													44		Coldkill	UniqueItems	0
gethit-skill	44	5	9	scl		1		46													44		Tiamat's Rebuke	UniqueItems	0
gethit-skill	46	5	8	scl		0		37													44		Infernostride	UniqueItems	0
gethit-skill	48	25	3	scl		1		43													44		Spiritual Custodian	SetItems	0
gethit-skill	48	5	7	scl		0		46													44		Tiamat's Rebuke	UniqueItems	0
gethit-skill	52	5	5	scl		2		37													44		Immortal King's Soul Cage 	SetItems	0
gethit-skill	53	5	5	scl		0		78													44		Stormspire	UniqueItems	0
gethit-skill	53	18	5	scl		1		18													44		Cow King's Hide	SetItems	0
gethit-skill	53	12	5	scl		1		28													44		Naj's Circlet	SetItems	0
gethit-skill	54	25	1	scl		0		50													44		The Oculus	UniqueItems	0
gethit-skill	55	10	3	scl		2		70													44		Mavina’s Embrace	SetItems	0
gethit-skill	56	2	0	scl		0		73													44		The Rising Sun	UniqueItems	0
gethit-skill	59	5	0	scl		0		49													44		Snowclash	UniqueItems	0
gethit-skill	59	4	6	scl		0		43													44		Stormchaser	UniqueItems	0
gethit-skill	62	3	6	scl		0		46													44		Tiamat's Rebuke	UniqueItems	0
gethit-skill	71	6	3	scl		0		46													44		Darksight Helm	UniqueItems	0
gethit-skill	72	4	5	scl		0		67													44		Blackoak Shield	UniqueItems	0
gethit-skill	76	5	1	scl		0		53													44		The Gavel of Pain	UniqueItems	0
gethit-skill	76	6	2	scl		0		63													44		Corpsemourn	UniqueItems	0
gethit-skill	76	10	2	scl		2		55													44		Saracen's Chance	UniqueItems	0
gethit-skill	88	10	2	scl		0		44													44		Arm of King Leoric	UniqueItems	0
gethit-skill	92	5	5	scl		0		58													44		Radimant's Sphere	UniqueItems	0
gethit-skill	92	9	6	scl		0		44													44		Pus Spiter	UniqueItems	0
gethit-skill	92	15	15	scl		2		85													44		Andariel's Visage	UniqueItems	0
gethit-skill	93	5	10	scl		0		44													44		Arm of King Leoric	UniqueItems	0
gethit-skill	101	50	0	scl		0		50													44		Boneslayer Blade	UniqueItems	0
gethit-skill	121	5	7	scl		0		55													44		Thudergod's Vigor	UniqueItems	0
gethit-skill	240	7	1	scl		0		21													44		Zephyr	Runes	0
gethit-skill	245	4	5	scl		0		43													44		Stormchaser	UniqueItems	0
gethit-skill	Amplify Damage	35	14	scl		15		65													44		Brand	Runes	0
gethit-skill	Blaze	5	15	scl		0		45													44		Enlightenment	Runes	0
gethit-skill	Bone Armor	15	10	scl		10		47													44		Bone	Runes	0
gethit-skill	Chilling Armor	20	15	scl		12		59													44		Fortitude	Runes	0
gethit-skill	Confuse	10	15	scl		5		65													44		Dream	Runes	0
gethit-skill	Cyclone Armor	5	15	scl		6		49													44		Rain	Runes	0
gethit-skill	Delerium Change	1	50	scl		0		51													44		Delirium	Runes	0
gethit-skill	Dim Vision	15	3	scl		2		47													44		Gloom	Runes	0
gethit-skill	Fade	5	8	scl		0		76													44		Spirit Ward	UniqueItems	0
gethit-skill	Fade	6	11	scl		0		65													44		Last Wish	Runes	0
gethit-skill	Fade	5	15	scl		0		43													44		Treachery	Runes	0
gethit-skill	Fire Wall	25	17	scl		1		67													44		Pride	Runes	0
gethit-skill	Howl	3	1	scl		0		33													44		Myth	Runes	0
gethit-skill	Iron Maiden	8	6	scl		1		74													44		Steel Carapice	UniqueItems	0
gethit-skill	Lower Resist	10	7	scl		5		84													44		Medusa's Gaze	UniqueItems	0
gethit-skill	Mind Blast	6	14	scl		0		51													44		Delirium	Runes	0
gethit-skill	Poison Nova	10	10	scl		1		68													44		Carrion Wind	UniqueItems	0
gethit-skill	Slow Missiles	4	5	scl		0		29													44		Peace	Runes	0
gethit-skill	Terror	15	3	scl		0		80													44		Boneflame	UniqueItems	0
gethit-skill	Terror	14	13	scl		0		51													44		Delirium	Runes	0
gethit-skill	Venom	20	18	scl		340		61													44		Dragon	Runes	0
gold%	0	-100	-10	c	-10	-1		13													21		Nadir	Runes	0
gold%	0	37	250	r=	1	6															21		Cow King's Leathers	Sets	0
gold%/lvl	25	0	0	lvl		3															21		Ice	Runes	0
half-freeze		1	1	r	5	5															10		Undead Crown	UniqueItems	0
heal-kill	0	5	15	r=	5	15															225		Bloodmoon	UniqueItems	0
hit-skill	38	10	0	scl		2		49													44		Stormrider	UniqueItems	0
hit-skill	42	20	10	scl		20		83													44		Schaefer's Hammer	UniqueItems	0
hit-skill	44	10	3	scl		5		68													44		Dangoon's Teaching	SetItems	0
hit-skill	45	10	3	scl		4		28													44		Hwanin's Justice	SetItems	0
hit-skill	45	10	10	scl		5		44													44		Coldkill	UniqueItems	0
hit-skill	48	5	8	scl		1		53													44		Baezil's Vortex	UniqueItems	0
hit-skill	52	2	10	scl		30		50													44		Lavagout	UniqueItems	0
hit-skill	53	5	10	scl		11		49													44		Stormrider	UniqueItems	0
hit-skill	56	2	4	scl		2		55													44		Hellmouth	UniqueItems	0
hit-skill	56	5	6	scl		5		50													44		Moonfall	UniqueItems	0
hit-skill	56	2	6	scl		3		36													44		Skystrike	UniqueItems	0
hit-skill	59	6	5	scl		10		45													44		Zakarum's Hand	UniqueItems	0
hit-skill	64	5	3	scl		10		51													44		Bing Sz Wang	UniqueItems	0
hit-skill	66	5	1	scl		25		53													44		The Gavel of Pain	UniqueItems	0
hit-skill	66	6	1	scl		30		52													44		The Vile Husk	UniqueItems	0
hit-skill	66	4	1	scl		20		85													44	dmg	The Cranium Basher	UniqueItems	0
hit-skill	66	5	2	scl		30		60													44		Atma's Scarab	UniqueItems	0
hit-skill	66	2	5	scl		12		47													44		Whichwild String	UniqueItems	0
hit-skill	72	8	3	scl		8		75													44		Doombringer	UniqueItems	0
hit-skill	72	10	3	scl		9		69													44		Ondal's Almighty	SetItems	0
hit-skill	72	5	5	scl		7		50													44		Blackleach Blade	UniqueItems	0
hit-skill	81	10	1	scl		9		46													44		The Fetid Sprinkler	UniqueItems	0
hit-skill	87	5	1	scl		15		46													44		The Fetid Sprinkler	UniqueItems	0
hit-skill	91	4	1	scl		10		44													44		Pus Spiter	UniqueItems	0
hit-skill	92	5	4	scl		6		49													44		Plague Bearer	UniqueItems	0
hit-skill	92	5	8	scl		9		56													44		Guardian Naga	UniqueItems	0
hit-skill	101	10	3	scl		0		63													44		Laying of Hands	SetItems	0
hit-skill	121	5	4	scl		10		50													44		Hand of Blessed Light	UniqueItems	0
hit-skill	121	6	7	scl		16		53													44		Cloudcrack	UniqueItems	0
hit-skill	121	5	7	scl		14		54													44		Godstrike Arch	UniqueItems	0
hit-skill	197	5	10	scl		20		110													44		Hellfire Torch	UniqueItems	0
hit-skill	225	4	12	scl		2		55													44		Hellmouth	UniqueItems	0
hit-skill	234	5	7	scl		3		51													44		Earthshaker	UniqueItems	0
hit-skill	244	4	8	scl		2		53													44		Pompe's Wrath	UniqueItems	0
hit-skill	245	10	9	scl		10		61													44		Wind	Runes	0
hit-skill	Amplify Damage	33	3	scl		90		76													44	dmg	Lacerator	UniqueItems	0
hit-skill	Bone Spear	15	10	scl		15		47													44		Bone	Runes	0
hit-skill	Bone Spear	50	16	scl		80		72													44		Bonehew	UniqueItems	0
hit-skill	Bone Spear	100	18	scl		185		65													44		Brand	Runes	0
hit-skill	Bone Spirit	30	20	scl		120		49													44		Oath	Runes	0
hit-skill	Chain Lightning	10	17	scl		18		47													44		Crescent Moon	Runes	0
hit-skill	Charged Bolt	11	9	scl		12		57													44		Chaos	Runes	0
hit-skill	Confuse	11	18	scl		6		51													44		Delirium	Runes	0
hit-skill	Decrepify	33	1	scl		90		83													44	dmg	The Reaper's Toll	UniqueItems	0
hit-skill	decrepify	30	1	scl		85		63													44	ac	Wrath	Runes	0
hit-skill	Decrepify	20	15	scl		70		43													44	ac	Lawbringer	Runes	0
hit-skill	Eruption	25	14	scl		33		77													44		Earthshifter	UniqueItems	0
hit-skill	Fire Ball	5	15	scl		8		45													44	fire	Enlightenment	Runes	0
hit-skill	Firestorm	12	16	scl		10		79													44	fire	Flamebellow	UniqueItems	0
hit-skill	Firestorm	40	22	scl		48		65													44	fire	Phoenix	Runes	0
hit-skill	Frost Nova	33	8	scl		16		85													44	cold	Shadowkiller	UniqueItems	0
hit-skill	Frost Nova	25	22	scl		18		65													44	cold	Ice	Runes	0
hit-skill	Frozen Orb	9	11	scl		30		57													44	cold	Chaos	Runes	0
hit-skill	Frozen Orb	15	13	scl		60		43													44	cold	Winter	Runes	0
hit-skill	Holy Bolt	100	5	scl		1		53													44		Principle	Runes	0
hit-skill	Hydra	12	15	scl		10		61													44	fire	Dragon	Runes	0
hit-skill	Ice Blast	18	20	scl		16		43													44	cold	Winter	Runes	0
hit-skill	Life Tap	15	5	scl		5		57													44	dmg	Exile's Path	Runes	0
hit-skill	Life Tap	5	10	scl		3		63													44	dmg	Wrath	Runes	0
hit-skill	Life Tap	10	18	scl		4		65													44	dmg	Last Wish	Runes	0
hit-skill	Lightning	20	14	scl		18		77													44		Thunderstroke	UniqueItems	0
hit-skill	Lightning	10	16	scl		10		84													44		Wisp	UniqueItems	0
hit-skill	Molten Boulder	5	23	scl		15		65													44	fire	Destruction	Runes	0
hit-skill	Nova	25	9	scl		17		83													44	cold	Warshrike	UniqueItems	0
hit-skill	Nova	10	15	scl		12		70													44	cold	M'avina's Caster	SetItems	0
hit-skill	Poison Explosion	15	9	scl		7		79													44	pois	Viperfork	UniqueItems	0
hit-skill	Static Field	15	10	scl		15		86													44		Stormlash	UniqueItems	0
hit-skill	Static Field	7	13	scl		7		47													44		Crescent Moon	Runes	0
hit-skill	Taunt	10	1	scl		1		33													44		Myth	Runes	0
