description	enabled		min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
magic ring + jewel + rune 11 + perfect sapphire -> hitpower ring	1			100					4	ring,mag	jew	r11	gpb				usetype,crf		50	50	gethit-skill		44	5	4	thorns			3	6	dex			1	5																																																																					0
magic blunt + jewel + rune 03 + perfect sapphire -> hitpower weapon	1			100					4	blun,mag	jew	r03	gpb				usetype,crf		50	50	gethit-skill		44	5	4	thorns			3	7	dmg%			35	60																																																																					0
magic helm + jewel + rune 08 + perfect ruby -> blood helm	1			100					4	hlm,mag,upg	jew	r08	gpr				usetype,crf		50	50	lifesteal			1	3	hp			10	20	deadly			5	10																																																																					0
magic light plated boots + jewel + rune 05 + perfect ruby -> blood boots	1			100					4	tbt,mag,upg	jew	r05	gpr				usetype,crf		50	50	lifesteal			1	3	hp			10	20	regen			5	10																																																																					0
magic heavy gloves + jewel + rune 04 + perfect ruby -> blood gloves	1			100					4	vgl,mag,upg	jew	r04	gpr				usetype,crf		50	50	lifesteal			1	3	hp			10	20	crush			5	10																																																																					0
magic belt + jewel + rune 07 + perfect ruby -> blood belt	1			100					4	mbl,mag,upg	jew	r07	gpr				usetype,crf		50	50	lifesteal			1	3	hp			10	20	openwounds			5	10																																																																					0
magic spiked shield + jewel + rune 06 + perfect ruby -> blood shield	1			100					4	spk,mag,upg	jew	r06	gpr				usetype,crf		50	50	lifesteal			1	3	hp			10	20	thorns			4	7																																																																					0
magic plate mail + jewel + rune 10 + perfect ruby -> blood body	1			100					4	plt,mag,upg	jew	r10	gpr				usetype,crf		50	50	lifesteal			1	3	hp			10	20	demon-heal			1	3																																																																					0
magic amulet + jewel + rune 11 + perfect ruby -> blood amulet	1			100					4	amul,mag	jew	r11	gpr				usetype,crf		50	50	lifesteal			1	4	hp			10	20	move1			5	10																																																																					0
magic ring + jewel + rune 12 + perfect ruby -> blood ring	1			100					4	ring,mag	jew	r12	gpr				usetype,crf		50	50	lifesteal			1	3	hp			10	20	str			1	5																																																																					0
magic axe + jewel + rune 09 + perfect ruby -> blood weapon	1			100					4	axe,mag	jew	r09	gpr				usetype,crf		50	50	lifesteal			1	4	hp			10	20	dmg%			35	60																																																																					0
magic mask + jewel + rune 04 + perfect amethyst -> caster helm	1			100					4	msk,mag,upg	jew	r04	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	manasteal			1	4																																																																					0
magic boots + jewel + rune 10 + perfect amethyst -> caster boots	1			100					4	lbt,mag,upg	jew	r10	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	mana%			2	5																																																																					0
magic leather gloves + jewel + rune 09 + perfect amethyst -> caster gloves	1			100					4	lgl,mag,upg	jew	r09	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	mana-kill			1	3																																																																					0
magic light belt + jewel + rune 06 + perfect amethyst -> caster belt	1			100					4	vbl,mag,upg	jew	r06	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	cast1			5	10																																																																					0
magic small shield + jewel + rune 05 + perfect amethyst -> caster shield	1			100					4	sml,mag,upg	jew	r05	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	block			5	10																																																																					0
magic light plate + jewel + rune 07 + perfect amethyst -> caster body	1			100					4	ltp,mag,upg	jew	r07	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	mana-kill			1	3																																																																					0
magic amulet + jewel + rune 08 + perfect amethyst -> caster amulet	1			100					4	amul,mag	jew	r08	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	cast1			5	10																																																																					0
magic ring + jewel + rune 11 + perfect amethyst -> caster ring	1			100					4	ring,mag	jew	r11	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	enr			1	5																																																																					0
magic rod + jewel + rune 03 + perfect amethyst -> caster weapon	1			100					4	rod,mag	jew	r03	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	mana%			1	5																																																																					0
magic crown + jewel + rune 06 + perfect emerald -> safety helm	1			100					4	crn,mag,upg	jew	r06	gpg				usetype,crf		50	50	red-dmg			1	4	red-mag			1	2	res-ltng			5	10	ac%			10	30																																																																0
magic plate boots + jewel + rune 09 + perfect emerald -> safety boots	1			100					4	hbt,mag,upg	jew	r09	gpg				usetype,crf		50	50	red-dmg			1	4	red-mag			1	2	res-fire			5	10	ac%			10	30																																																																0
magic gauntlets + jewel + rune 08 + perfect emerald -> safety gloves	1			100					4	hgl,mag,upg	jew	r08	gpg				usetype,crf		50	50	red-dmg			1	4	red-mag			1	2	res-cold			5	10	ac%			10	30																																																																0
magic sash + jewel + rune 07 + perfect emerald -> safety belt	1			100					4	lbl,mag,upg	jew	r07	gpg				usetype,crf		50	50	red-dmg			1	4	red-mag			1	2	res-pois			5	10	ac%			10	30																																																																0
magic kite shield + jewel + rune 04 + perfect emerald -> safety shield	1			100					4	kit,mag,upg	jew	r04	gpg				usetype,crf		50	50	red-dmg			1	4	red-mag			1	2	res-mag			5	10	ac%			10	30																																																																0
magic breastplate + jewel + rune 05 + perfect emerald -> safety body	1			100					4	brs,mag,upg	jew	r05	gpg				usetype,crf		50	50	red-dmg			1	4	red-mag			1	2	half-freeze			1	1	ac%			10	30																																																																0
magic amulet + jewel + rune 10 + perfect emerald -> safety amulet	1			100					4	amul,mag	jew	r10	gpg				usetype,crf		50	50	red-dmg			1	4	red-mag			1	2	block			1	10																																																																					0
magic ring + jewel + rune 11 + perfect emerald -> safety ring	1			100					4	ring,mag	jew	r11	gpg				usetype,crf		50	50	red-dmg			1	4	red-mag			1	2	vit			1	5																																																																					0
magic spear + jewel + rune 12 + perfect emerald -> safety weapon	1			100					4	spea,mag	jew	r12	gpg				usetype,crf		50	50	red-dmg			1	4	red-mag			1	2	ac%			5	10																																																																					0
3 rune 10 + 1 chipped topaz -> rune 11	1			100					2	r10,qty=2							r11																																																																																							0
3 rune 11 + 1 chipped amethyst -> rune 12	1			100					2	r11,qty=2							r12																																																																																							0
3 rune 12 + 1 chipped sapphire -> rune 13	1			100					2	r12,qty=2							r13																																																																																							0
3 rune 13 + 1 chipped ruby -> rune 14	1			100					2	r13,qty=2							r14																																																																																							0
3 rune 14 + 1 chipped emerald -> rune 15	1			100					2	r14,qty=2							r15																																																																																							0
3 rune 15 + 1 chipped diamond -> rune 16	1			100					2	r15,qty=2							r16																																																																																							0
3 rune 16 + 1 flawed topaz -> rune 17	1			100					2	r16,qty=2							r17																																																																																							0
3 rune 17 + 1 flawed amethyst -> rune 18	1			100					2	r17,qty=2							r18																																																																																							0
3 rune 18 + 1 flawed sapphire -> rune 19	1			100					2	r18,qty=2							r19																																																																																							0
3 rune 19 + 1 flawed ruby -> rune 20	1			100					2	r19,qty=2							r20																																																																																							0
3 rune 20 + 1 flawed emerald -> rune 21	1			100					2	r20,qty=2							r21																																																																																							0
2 rune 21 + 1 flawed diamond -> rune 22	1			100					2	r21,qty=2							r22																																																																																							0
2 rune 22 + 1 standard topaz -> rune 23	1			100					2	r22,qty=2							r23																																																																																							0
2 rune 23 + 1 standard amethyst -> rune 24	1			100					2	r23,qty=2							r24																																																																																							0
2 rune 24 + 1 standard sapphire -> rune 25	1			100					2	r24,qty=2							r25																																																																																							0
2 rune 25 + 1 standard ruby -> rune 26	1			100					2	r25,qty=2							r26																																																																																							0
2 rune 26 + 1 standard emerald -> rune 27	1			100					2	r26,qty=2							r27																																																																																							0
2 rune 27 + 1 standard diamond -> rune 28	1			100					2	r27,qty=2							r28																																																																																							0
2 rune 28 + 1 flawless topaz -> rune 29	1			100					2	r28,qty=2							r29																																																																																							0
2 rune 29 + 1 flawless amethyst -> rune 30	1			100					2	r29,qty=2							r30																																																																																							0
2 rune 30 + 1 flawless sapphire -> rune 31	1			100					2	r30,qty=2							r31																																																																																							0
2 rune 31 + 1 flawless ruby -> rune 32	1			100					2	r31,qty=2							r32																																																																																							0
2 rune 32 + 1 flawless emerald -> rune 33	1			100					2	r32,qty=2							r33																																																																																							0
r07 + r10 + 1 perfect topaz + normal torso -> socketed torso	1			100					4	tors,nos	r07	r10	gpy				useitem				sock			1	6																																																																															0
r08 + r11 + 1 perfect amethyst + normal weapon -> socketed weapon	1			100					4	weap,nos	r08	r11	gpv				useitem				sock			1	6																																																																															0
r08 + r10 + 1 perfect sapphire + normal helm -> socketed helm	1			100					4	helm,nos	r08	r10	gpb				useitem				sock			1	6																																																																															0
r07 + r11 + 1 perfect ruby + normal shield -> socketed shield	1			100					4	shld,nos	r07	r11	gpr				useitem				sock			1	6																																																																															0
r02 + 1 chipped gem + low weapon -> normal weapon	1			100					3	weap,low	r02	gem0					usetype,nor																																																																																							0
r01 + 1 chipped gem + low armor -> normal armor	1			100					3	armo,low	r01	gem0					usetype,nor																																																																																							0
r08 + r12 + perfect emerald + basic unique weapon -> exceptional unique weapon	1			100					4	weap,bas,uni	r08	r12	gpg				useitem,mod,exc				levelreq			5	5																																																																															0
r07 + r13 + perfect diamond + basic unique armor -> exceptional unique armor	1			100					4	armo,bas,uni	r07	r13	gpw				useitem,mod,exc				levelreq			5	5																																																																															0
r17 + r21 + perfect emerald + exceptional unique weapon -> elite unique weapon	1			100					4	weap,exc,uni	r17	r21	gpg				useitem,mod,eli				levelreq			7	7																																																																															0
r18 + r20 + perfect diamond + exceptional unique armor -> elite unique armor	1			100					4	armo,exc,uni	r18	r20	gpw				useitem,mod,eli				levelreq			7	7																																																																															0
r09 + r11 + perfect sapphire + basic rare weapon -> exceptional rare weapon	1			100					4	weap,bas,rar	r09	r11	gpb				useitem,mod,exc				levelreq			5	5																																																																															0
r08 + r10 + perfect amethyst + basic rare armor -> exceptional rare armor	1			100					4	armo,bas,rar	r08	r10	gpv				useitem,mod,exc				levelreq			5	5																																																																															0
r19 + r22 + perfect sapphire + exceptional rare weapon -> elite rare weapon	1			100					4	weap,exc,rar	r19	r22	gpb				useitem,mod,eli				levelreq			7	7																																																																															0
r18 + r21 + perfect amethyst + exceptional rare armor -> elite rare armor	1			100					4	armo,exc,rar	r18	r21	gpv				useitem,mod,eli				levelreq			7	7																																																																															0
r09 + weapon -> repair	1			100					2	weap,noe	r09						useitem,rep,qty=255																																																																																							0
r08 + armor -> repair	1			100					2	armo,noe	r08						useitem,rep,qty=255																																																																																							0
r09 + weapon + chipped gem -> repair + recharge	1			100					3	weap,noe	r09	gem0					useitem,rep,rch,qty=255																																																																																							0
r08 + armor + flawed gem -> repair + recharge	1			100					3	armo,noe	r08	gem1					useitem,rep,rch,qty=255																																																																																							0
r15 + tsc + any socketed item -> unsocket (destroy gems)	1			100					3	any,sock	r15	tsc					useitem,uns																																																																																							0
r08 + jew + superior armor -> tempered armor				100					3	armo,hiq,nos	jew	r08					useitem,tmp																																																																																							0
r08 + jew + superior weapon -> tempered weapon				100					3	weap,hiq,nos	jew	r08					useitem,tmp																																																																																							0
r08 + jew + magic ring -> tempered ring				100					3	ring,mag	jew	r08					usetype,tmp				levelreq			3	3																																																																															0
r08 + jew + magic amulet -> tempered amulet				100					3	amu,mag	jew	r08					usetype,tmp				levelreq			5	5																																																																															0
r01 + gcv + tempered weapon -> +30-50 ar				100					3	weap,tmp	r01	gcv					useitem				levelreq			2	2	att			30	50																																																																										0
3 chipped gems + 1 magic weapon -> socketed, magic weapon	1			0					4	weap,mag	gem0,qty=3						usetype,mag	25		50	sock			1	2																																																																															0
Pandemonium key	1			100	28				3	pk1	pk2	pk3					Pandemonium Portal																																																																																							0
Pandemonium Finale key	1			100	28				3	dhn	bey	mbr					Pandemonium Finale Portal																																																																																							0
Token of Absolution	1			100					4	tes	ceh	bet	fed				toa																																																																																							0
SafeUnsocket	1			100					2	any,sock	key,qty=1						useitem,rem																																																																																							0
1 Rune → 2 Lower Runes	1			100					1	r02,qty=1							r01																													r01																																																										0
1 Rune → 2 Lower Runes	1			100					1	r03,qty=1							r02																													r02																																																										0
1 Rune → 2 Lower Runes	1			100					1	r04,qty=1							r03																													r03																																																										0
1 Rune → 2 Lower Runes	1			100					1	r05,qty=1							r04																													r04																																																										0
1 Rune → 2 Lower Runes	1			100					1	r06,qty=1							r05																													r05																																																										0
1 Rune → 2 Lower Runes	1			100					1	r07,qty=1							r06																													r06																																																										0
1 Rune → 2 Lower Runes	1			100					1	r08,qty=1							r07																													r07																																																										0
1 Rune → 2 Lower Runes	1			100					1	r09,qty=1							r08																													r08																																																										0
1 Rune → 2 Lower Runes	1			100					1	r10,qty=1							r09																													r09																																																										0
1 Rune → 2 Lower Runes	1			100					1	r11,qty=1							r10																													r10																																																										0
1 Rune → 2 Lower Runes	1			100					1	r12,qty=1							r11																													r11																																																										0
1 Rune → 2 Lower Runes	1			100					1	r13,qty=1							r12																													r12																																																										0
1 Rune → 2 Lower Runes	1			100					1	r14,qty=1							r13																													r13																																																										0
1 Rune → 2 Lower Runes	1			100					1	r15,qty=1							r14																													r14																																																										0
1 Rune → 2 Lower Runes	1			100					1	r16,qty=1							r15																													r15																																																										0
1 Rune → 2 Lower Runes	1			100					1	r17,qty=1							r16																													r16																																																										0
1 Rune → 2 Lower Runes	1			100					1	r18,qty=1							r17																													r17																																																										0
1 Rune → 2 Lower Runes	1			100					1	r19,qty=1							r18																													r18																																																										0
1 Rune → 2 Lower Runes	1			100					1	r20,qty=1							r19																													r19																																																										0
1 Rune → 2 Lower Runes	1			100					1	r21,qty=1							r20																													r20																																																										0
1 Rune → 2 Lower Runes	1			100					1	r22,qty=1							r21																													r21																																																										0
1 Rune → 2 Lower Runes	1			100					1	r23,qty=1							r22																													r22																																																										0
1 Rune → 2 Lower Runes	1			100					1	r24,qty=1							r23																													r23																																																										0
1 Rune → 2 Lower Runes	1			100					1	r25,qty=1							r24																													r24																																																										0
1 Rune → 2 Lower Runes	1			100					1	r26,qty=1							r25																													r25																																																										0
1 Rune → 2 Lower Runes	1			100					1	r27,qty=1							r26																													r26																																																										0
1 Rune → 2 Lower Runes	1			100					1	r28,qty=1							r27																													r27																																																										0
1 Rune → 2 Lower Runes	1			100					1	r29,qty=1							r28																													r28																																																										0
1 Rune → 2 Lower Runes	1			100					1	r30,qty=1							r29																													r29																																																										0
1 Rune → 2 Lower Runes	1			100					1	r31,qty=1							r30																													r30																																																										0
1 Rune → 2 Lower Runes	1			100					1	r32,qty=1							r31																													r31																																																										0
1 Rune → 2 Lower Runes	1			100					1	r33,qty=1							r32																													r32																																																										0
flawed amethyst → 3 chipped amethysts	1			0					1	gfv							gcv																													gcv																													gcv																													0
standard amethyst → 3 flawed amethysts	1			0					1	gsv							gfv																													gfv																													gfv																													0
flawless amethyst → 3 standard amethysts	1			0					1	gzv							gsv																													gsv																													gsv																													0
perfect amethyst → 3 flawless amethysts	1			0					1	gpv							gzv																													gzv																													gzv																													0
flawed ruby → 3 chipped rubies	1			0					1	gfr							gcr																													gcr																													gcr																													0
standard ruby → 3 flawed rubies	1			0					1	gsr							gfr																													gfr																													gfr																													0
flawless ruby → 3 standard rubies	1			0					1	glr							gsr																													gsr																													gsr																													0
perfect ruby → 3 flawless rubies	1			0					1	gpr							glr																													glr																													glr																													0
flawed sapphire → 3 chipped sapphires	1			0					1	gfb							gcb																													gcb																													gcb																													0
standard sapphire → 3 flawed sapphires	1			0					1	gsb							gfb																													gfb																													gfb																													0
flawless sapphire → 3 standard sapphires	1			0					1	glb							gsb																													gsb																													gsb																													0
perfect sapphire → 3 flawless sapphires	1			0					1	gpb							glb																													glb																													glb																													0
flawed topaz → 3 chipped topazes	1			0					1	gfy							gcy																													gcy																													gcy																													0
standard topaz → 3 flawed topazes	1			0					1	gsy							gfy																													gfy																													gfy																													0
flawless topaz → 3 standard topazes	1			0					1	gly							gsy																													gsy																													gsy																													0
perfect topaz → 3 flawless topazes	1			0					1	gpy							gly																													gly																													gly																													0
flawed emerald → 3 chipped emeralds	1			0					1	gfg							gcg																													gcg																													gcg																													0
standard emerald → 3 flawed emeralds	1			0					1	gsg							gfg																													gfg																													gfg																													0
flawless emerald → 3 standard emeralds	1			0					1	glg							gsg																													gsg																													gsg																													0
perfect emerald → 3 flawless emeralds	1			0					1	gpg							glg																													glg																													glg																													0
flawed diamond → 3 chipped diamonds	1			0					1	gfw							gcw																													gcw																													gcw																													0
standard diamond → 3 flawed diamonds	1			0					1	gsw							gfw																													gfw																													gfw																													0
flawless diamond → 3 standard diamonds	1			0					1	glw							gsw																													gsw																													gsw																													0
perfect diamond → 3 flawless diamonds	1			0					1	gpw							glw																													glw																													glw																													0
flawed skull → 3 chipped skulls	1			0					1	skf							skc																													skc																													skc																													0
standard skull → 3 flawed skulls	1			0					1	sku							skf																													skf																													skf																													0
flawless skull → 3 standard skulls	1			0					1	skl							sku																													sku																													sku																													0
perfect skull → 3 flawless skulls	1			0					1	skz							skl																													skl																													skl																													0
helrune + normal torso → socketed torso	1			100					2	tors,nos	r15						useitem				sock			1	6																																																																															0
helrune + normal weapon → socketed weapon	1			100					2	weap,nos	r15						useitem				sock			1	6																																																																															0
helrune + normal helm → socketed helm	1			100					2	helm,nos	r15						useitem				sock			1	6																																																																															0
helrune + normal shield → socketed shield	1			100					2	shld,nos	r15						useitem				sock			1	6																																																																															0
