Hireling	SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Share	Dmg-Min	Dmg-Max	Dmg/Lvl	Resist	Resist/Lvl	WType1	WType2	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	Head	Torso	Weapon	Shield
Rogue Scout	Ice - Normal	100	1	271	1	1	67	150	merc01	merc41	150	105	900	30	744	22	116	10	173	16	1150	36	2	25	27	6	121	5	bow		carw	75	Blessed Aim	1	10	0	17	0	Cold Arrow	4	50	0	17	0	Ice Arrow	4	25	0	17	0																			2	1	2	0
Rogue Scout	Fire - Nightmare	100	2	271	1	2	36	150	merc01	merc41	6000	110	308	18	251	15	74	10	106	16	365	24	1	8	10	4	63	7	bow		farw	75	Blessed Aim	1	10	0	9	10	Fire Arrow	4	50	0	9	10	Exploding Arrow	4	25	0	9	10																			2	1	2	0
Rogue Scout	Fire - Nightmare	100	2	271	1	2	67	150	merc01	merc41	6000	110	866	30	716	22	113	10	168	16	1109	36	2	24	26	6	118	5	bow		farw	75	Blessed Aim	1	10	0	17	0	Fire Arrow	4	50	0	17	0	Exploding Arrow	4	25	0	17	0																			2	1	2	0
Rogue Scout	Ice - Nightmare	100	3	271	1	2	36	150	merc01	merc41	7500	115	308	18	251	15	74	10	106	16	365	24	1	8	10	4	63	7	bow		carw	75	Blessed Aim	1	10	0	9	10	Cold Arrow	4	50	0	9	10	Ice Arrow	4	25	0	9	10																			2	1	2	0
Rogue Scout	Ice - Nightmare	100	3	271	1	2	67	150	merc01	merc41	7500	115	866	30	716	22	113	10	168	16	1109	36	2	24	26	6	118	5	bow		carw	75	Blessed Aim	1	10	0	17	0	Cold Arrow	4	50	0	17	0	Ice Arrow	4	25	0	17	0																			2	1	2	0
Rogue Scout	Fire - Hell	100	4	271	1	3	67	150	merc01	merc41	12500	120	779	30	644	22	110	10	163	16	998	36	2	23	25	6	115	5	bow		farw	75	Blessed Aim	1	10	0	17	0	Fire Arrow	4	50	0	17	0	Exploding Arrow	4	25	0	17	0																			2	1	2	0
Rogue Scout	Ice - Hell	100	5	271	1	3	67	150	merc01	merc41	14000	125	779	30	644	22	110	10	163	16	998	36	2	23	25	6	115	5	bow		carw	75	Blessed Aim	1	10	0	17	0	Cold Arrow	4	50	0	17	0	Ice Arrow	4	25	0	17	0																			2	1	2	0
Desert Mercenary	Comb-Normal	0	6	338	2	1	9	198	merca201	merca221	350	110	120	10	45	9	57	14	40	12	20	10	1	7	14	4	18	8	pole	spea	comb	30	Prayer	1	10	0	2	10	Jab	14	150	0	2	10																									2	2	2	0
Desert Mercenary	Comb-Normal	0	6	338	2	1	31	198	merca201	merca221	350	110	340	20	243	16	96	14	73	12	240	20	3	18	25	6	62	7	pole	spea	comb	30	Prayer	1	10	0	8	10	Jab	14	150	0	8	10																									2	2	2	0
Desert Mercenary	Comb-Normal	0	6	338	2	1	55	198	merca201	merca221	350	110	820	35	627	24	138	14	109	12	720	30	4	36	43	8	104	4	pole	spea	comb	30	Prayer	1	10	0	14	0	Jab	14	150	0	14	0																									2	2	2	0
Desert Mercenary	Def-Normal	0	7	338	2	1	9	198	merca201	merca221	350	110	120	10	45	9	57	14	40	12	20	10	1	7	14	4	18	8	pole	spea	def	30	Defiance	1	10	0	2	10	Jab	14	150	0	2	10																									2	2	2	0
Desert Mercenary	Def-Normal	0	7	338	2	1	31	198	merca201	merca221	350	110	340	20	243	16	96	14	73	12	240	20	3	18	25	6	62	7	pole	spea	def	30	Defiance	1	10	0	8	10	Jab	14	150	0	8	10																									2	2	2	0
Desert Mercenary	Def-Normal	0	7	338	2	1	55	198	merca201	merca221	350	110	820	35	627	24	138	14	109	12	720	30	4	36	43	8	104	4	pole	spea	def	30	Defiance	1	10	0	14	0	Jab	14	150	0	14	0																									2	2	2	0
Desert Mercenary	Off-Normal	0	8	338	2	1	9	198	merca201	merca221	350	110	120	10	45	9	57	14	40	12	20	10	1	7	14	4	18	8	pole	spea	off	30	Blessed Aim	1	10	0	2	10	Jab	14	150	0	2	10																									2	2	2	0
Desert Mercenary	Off-Normal	0	8	338	2	1	31	198	merca201	merca221	350	110	340	20	243	16	96	14	73	12	240	20	3	18	25	6	62	7	pole	spea	off	30	Blessed Aim	1	10	0	8	10	Jab	14	150	0	8	10																									2	2	2	0
Desert Mercenary	Off-Normal	0	8	338	2	1	55	198	merca201	merca221	350	110	820	35	627	24	138	14	109	12	720	30	4	36	43	8	104	4	pole	spea	off	30	Blessed Aim	1	10	0	14	0	Jab	14	150	0	14	0																									2	2	2	0
Desert Mercenary	Comb-Nightmare	0	9	338	2	2	31	198	merca201	merca221	7900	120	306	20	219	16	92	14	69	12	216	20	3	16	23	6	59	7	pole	spea	comb	30	Thorns	1	10	0	8	10	Jab	14	150	0	8	10																									2	2	2	0
Desert Mercenary	Comb-Nightmare	0	9	338	2	2	55	198	merca201	merca221	7900	120	786	35	603	24	134	14	105	12	696	30	4	34	41	8	101	4	pole	spea	comb	30	Thorns	1	10	0	14	0	Jab	14	150	0	14	0																									2	2	2	0
Desert Mercenary	Def-Nightmare	0	10	338	2	2	31	198	merca201	merca221	7900	120	306	20	219	16	92	14	69	12	216	20	3	16	23	6	59	7	pole	spea	def	30	Holy Freeze	1	10	0	8	10	Jab	14	150	0	8	10																									2	2	2	0
Desert Mercenary	Def-Nightmare	0	10	338	2	2	55	198	merca201	merca221	7900	120	786	35	603	24	134	14	105	12	696	30	4	34	41	8	101	4	pole	spea	def	30	Holy Freeze	1	10	0	14	0	Jab	14	150	0	14	0																									2	2	2	0
Desert Mercenary	Off-Nightmare	0	11	338	2	2	31	198	merca201	merca221	7900	120	306	20	219	16	92	14	69	12	216	20	3	16	23	6	59	7	pole	spea	off	30	Might	1	10	0	8	10	Jab	14	150	0	8	10																									2	2	2	0
Desert Mercenary	Off-Nightmare	0	11	338	2	2	55	198	merca201	merca221	7900	120	786	35	603	24	134	14	105	12	696	30	4	34	41	8	101	4	pole	spea	off	30	Might	1	10	0	14	0	Jab	14	150	0	14	0																									2	2	2	0
Desert Mercenary	Comb-Hell	0	12	338	2	3	55	198	merca201	merca221	15000	130	707	35	543	24	130	14	101	12	626	30	4	32	39	8	98	4	pole	spea	comb	30	Prayer	1	10	0	14	0	Jab	14	150	0	14	0																									2	2	2	0
Desert Mercenary	Def-Hell	0	13	338	2	3	55	198	merca201	merca221	15000	130	707	35	543	24	130	14	101	12	626	30	4	32	39	8	98	4	pole	spea	def	30	Defiance	1	10	0	14	0	Jab	14	150	0	14	0																									2	2	2	0
Desert Mercenary	Off-Hell	0	14	338	2	3	55	198	merca201	merca221	15000	130	707	35	543	24	130	14	101	12	626	30	4	32	39	8	98	4	pole	spea	off	30	Blessed Aim	1	10	0	14	0	Jab	14	150	0	14	0																									2	2	2	0
Desert Mercenary	Comb-Normal	100	6	338	2	1	9	198	merca201	merca221	350	110	120	15	45	11	57	14	40	12	20	12	1	7	14	4	18	8	pole	spea	comb	30	Prayer	1	10	0	2	10	Jab	14	150	0	2	10																									2	2	2	0
Desert Mercenary	Comb-Normal	100	6	338	2	1	43	198	merca201	merca221	350	110	630	25	419	19	117	14	91	12	428	24	3	24	31	6	86	7	pole	spea	comb	30	Prayer	1	10	0	11	10	Jab	14	150	0	11	10																									2	2	2	0
Desert Mercenary	Comb-Normal	100	6	338	2	1	75	198	merca201	merca221	350	110	1430	40	1027	28	173	14	139	12	1196	36	4	48	55	8	142	4	pole	spea	comb	30	Prayer	1	10	0	19	0	Jab	14	150	0	19	0																									2	2	2	0
Desert Mercenary	Def-Normal	100	7	338	2	1	9	198	merca201	merca221	350	110	120	15	45	11	57	14	40	12	20	12	1	7	14	4	18	8	pole	spea	def	30	Defiance	1	10	0	2	10	Jab	14	150	0	2	10																									2	2	2	0
Desert Mercenary	Def-Normal	100	7	338	2	1	43	198	merca201	merca221	350	110	630	25	419	19	117	14	91	12	428	24	3	24	31	6	86	7	pole	spea	def	30	Defiance	1	10	0	11	10	Jab	14	150	0	11	10																									2	2	2	0
Desert Mercenary	Def-Normal	100	7	338	2	1	75	198	merca201	merca221	350	110	1430	40	1027	28	173	14	139	12	1196	36	4	48	55	8	142	4	pole	spea	def	30	Defiance	1	10	0	19	0	Jab	14	150	0	19	0																									2	2	2	0
Desert Mercenary	Off-Normal	100	8	338	2	1	9	198	merca201	merca221	350	110	120	15	45	11	57	14	40	12	20	12	1	7	14	4	18	8	pole	spea	off	30	Blessed Aim	1	10	0	2	10	Jab	14	150	0	2	10																									2	2	2	0
Desert Mercenary	Off-Normal	100	8	338	2	1	43	198	merca201	merca221	350	110	630	25	419	19	117	14	91	12	428	24	3	24	31	6	86	7	pole	spea	off	30	Blessed Aim	1	10	0	11	10	Jab	14	150	0	11	10																									2	2	2	0
Desert Mercenary	Off-Normal	100	8	338	2	1	75	198	merca201	merca221	350	110	1430	40	1027	28	173	14	139	12	1196	36	4	48	55	8	142	4	pole	spea	off	30	Blessed Aim	1	10	0	19	0	Jab	14	150	0	19	0																									2	2	2	0
Desert Mercenary	Comb-Nightmare	100	9	338	2	2	43	198	merca201	merca221	7900	120	567	25	377	19	113	14	87	12	385	24	3	22	29	6	83	7	pole	spea	comb	30	Thorns	1	10	0	11	10	Jab	14	150	0	11	10																									2	2	2	0
Desert Mercenary	Comb-Nightmare	100	9	338	2	2	75	198	merca201	merca221	7900	120	1367	40	985	28	169	14	135	12	1153	36	4	46	53	8	139	4	pole	spea	comb	30	Thorns	1	10	0	19	0	Jab	14	150	0	19	0																									2	2	2	0
Desert Mercenary	Def-Nightmare	100	10	338	2	2	43	198	merca201	merca221	7900	120	567	25	377	19	113	14	87	12	385	24	3	22	29	6	83	7	pole	spea	def	30	Holy Freeze	1	10	0	11	10	Jab	14	150	0	11	10																									2	2	2	0
Desert Mercenary	Def-Nightmare	100	10	338	2	2	75	198	merca201	merca221	7900	120	1367	40	985	28	169	14	135	12	1153	36	4	46	53	8	139	4	pole	spea	def	30	Holy Freeze	1	10	0	19	0	Jab	14	150	0	19	0																									2	2	2	0
Desert Mercenary	Off-Nightmare	100	11	338	2	2	43	198	merca201	merca221	7900	120	567	25	377	19	113	14	87	12	385	24	3	22	29	6	83	7	pole	spea	off	30	Might	1	10	0	11	10	Jab	14	150	0	11	10																									2	2	2	0
Desert Mercenary	Off-Nightmare	100	11	338	2	2	75	198	merca201	merca221	7900	120	1367	40	985	28	169	14	135	12	1153	36	4	46	53	8	139	4	pole	spea	off	30	Might	1	10	0	19	0	Jab	14	150	0	19	0																									2	2	2	0
Desert Mercenary	Comb-Hell	100	12	338	2	3	75	198	merca201	merca221	15000	130	1230	40	887	28	165	14	131	12	1038	36	4	44	51	8	136	4	pole	spea	comb	30	Prayer	1	10	0	19	0	Jab	14	150	0	19	0																									2	2	2	0
Desert Mercenary	Def-Hell	100	13	338	2	3	75	198	merca201	merca221	15000	130	1230	40	887	28	165	14	131	12	1038	36	4	44	51	8	136	4	pole	spea	def	30	Defiance	1	10	0	19	0	Jab	14	150	0	19	0																									2	2	2	0
Desert Mercenary	Off-Hell	100	14	338	2	3	75	198	merca201	merca221	15000	130	1230	40	887	28	165	14	131	12	1038	36	4	44	51	8	136	4	pole	spea	off	30	Blessed Aim	1	10	0	19	0	Jab	14	150	0	19	0																									2	2	2	0
Eastern Sorceror	Fire-Normal	0	15	359	3	1	15	252	merca222	merca241	1000	110	160	8	80	4	49	10	40	8	15	10		1	7	4	25	7	swor	shie	fire	10	Meditation	1	10	0	4	10	Inferno	7	50	0	4	10	Fire Ball	7	25	0	4	10																			2	2	2	1
Eastern Sorceror	Fire-Normal	0	15	359	3	1	37	252	merca222	merca241	1000	110	336	14	168	10	77	10	62	8	235	20	3	12	18	4	64	7	swor	shie	fire	10	Meditation	1	10	0	9	10	Inferno	7	50	0	9	10	Fire Ball	7	25	0	9	10																			2	2	2	1
Eastern Sorceror	Fire-Normal	0	15	359	3	1	61	252	merca222	merca241	1000	110	672	20	408	18	107	10	86	8	715	30	5	24	30	4	106	6	swor	shie	fire	10	Meditation	1	10	0	15	0	Inferno	7	50	0	15	0	Fire Ball	7	25	0	15	0																			2	2	2	1
Eastern Sorceror	Cold-Normal	0	16	359	3	1	15	252	merca222	merca241	1500	120	160	8	80	4	49	10	40	8	15	10		1	7	4	25	7	swor	shie	cold	10	Meditation	1	10	0	4	10	Ice Blast	7	50	0	4	10	Glacial Spike	7	25	0	4	10																			2	2	2	1
Eastern Sorceror	Cold-Normal	0	16	359	3	1	37	252	merca222	merca241	1500	120	336	14	168	10	77	10	62	8	235	20	3	12	18	4	64	7	swor	shie	cold	10	Meditation	1	10	0	9	10	Ice Blast	7	50	0	9	10	Glacial Spike	7	25	0	9	10																			2	2	2	1
Eastern Sorceror	Cold-Normal	0	16	359	3	1	61	252	merca222	merca241	1500	120	672	20	408	16	107	10	86	8	715	30	5	24	30	4	106	4	swor	shie	cold	10	Meditation	1	10	0	15	0	Ice Blast	7	50	0	15	0	Glacial Spike	7	25	0	15	0																			2	2	2	1
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	15	252	merca222	merca241	1000	110	160	8	80	4	49	10	40	8	15	10		1	7	4	25	7	swor	shie	ltng	10	Meditation	1	10	0	4	10	Charged Bolt	7	50	0	4	10	Lightning	7	25	0	4	10																			2	2	2	1
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	37	252	merca222	merca241	1000	110	336	14	168	10	77	10	62	8	235	20	3	12	18	4	64	7	swor	shie	ltng	10	Meditation	1	10	0	9	10	Charged Bolt	7	50	0	9	10	Lightning	7	25	0	9	10																			2	2	2	1
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	61	252	merca222	merca241	1000	110	672	20	408	16	107	10	86	8	715	30	5	24	30	4	106	4	swor	shie	ltng	10	Meditation	1	10	0	15	0	Charged Bolt	7	50	0	15	0	Lightning	7	25	0	15	0																			2	2	2	1
Eastern Sorceror	Fire-Nightmare	0	18	359	3	2	37	252	merca222	merca241	9500	120	302	14	151	10	73	10	58	8	212	20	3	10	16	4	61	7	swor	shie	fire	10	Meditation	1	10	0	9	10	Inferno	7	50	0	9	10	Fire Ball	7	25	0	9	10																			2	2	2	1
Eastern Sorceror	Fire-Nightmare	0	18	359	3	2	61	252	merca222	merca241	9500	120	638	20	391	16	103	10	82	8	692	30	5	22	28	4	103	4	swor	shie	fire	10	Meditation	1	10	0	15	0	Inferno	7	50	0	15	0	Fire Ball	7	25	0	15	0																			2	2	2	1
Eastern Sorceror	Cold-Nightmare	0	19	359	3	2	37	252	merca222	merca241	12000	130	302	14	151	10	73	10	58	8	212	20	3	10	16	4	61	7	swor	shie	cold	10	Meditation	1	10	0	9	10	Ice Blast	7	50	0	9	10	Glacial Spike	7	25	0	9	10																			2	2	2	1
Eastern Sorceror	Cold-Nightmare	0	19	359	3	2	61	252	merca222	merca241	12000	130	638	20	391	16	103	10	82	8	692	30	5	22	28	4	103	4	swor	shie	cold	10	Meditation	1	10	0	15	0	Ice Blast	7	50	0	15	0	Glacial Spike	7	25	0	15	0																			2	2	2	1
Eastern Sorceror	Ltng-Nightmare	0	20	359	3	2	37	252	merca222	merca241	10000	120	302	14	151	10	73	10	58	8	212	20	3	10	16	4	61	7	swor	shie	ltng	10	Meditation	1	10	0	9	10	Charged Bolt	7	50	0	9	10	Lightning	7	25	0	9	10																			2	2	2	1
Eastern Sorceror	Ltng-Nightmare	0	20	359	3	2	61	252	merca222	merca241	10000	120	638	20	391	16	103	10	82	8	692	30	5	22	28	4	103	4	swor	shie	ltng	10	Meditation	1	10	0	15	0	Charged Bolt	7	50	0	15	0	Lightning	7	25	0	15	0																			2	2	2	1
Eastern Sorceror	Fire-Hell	0	21	359	3	3	61	252	merca222	merca241	21000	130	574	20	352	16	99	10	78	8	623	30	5	20	26	4	100	4	swor	shie	fire	10	Meditation	1	10	0	15	0	Inferno	7	50	0	15	0	Fire Ball	7	25	0	15	0																			2	2	2	1
Eastern Sorceror	Cold-Hell	0	22	359	3	3	61	252	merca222	merca241	27000	140	574	20	352	16	99	10	78	8	623	30	5	20	26	4	100	4	swor	shie	cold	10	Meditation	1	10	0	15	0	Ice Blast	7	50	0	15	0	Glacial Spike	7	25	0	15	0																			2	2	2	1
Eastern Sorceror	Ltng-Hell	0	23	359	3	3	61	252	merca222	merca241	21000	130	574	20	352	16	99	10	78	8	623	30	5	20	27	4	100	4	swor	shie	ltng	10	Meditation	1	10	0	15	0	Charged Bolt	7	50	0	15	0	Lightning	7	25	0	15	0																			2	2	2	1
Eastern Sorceror	Fire-Normal	100	15	359	3	1	15	252	merca222	merca241	1000	110	160	9	80	5	49	10	40	8	15	12		1	7	4	25	7	swor	shie	fire	10	Meditation	1	10	0	4	10	Inferno	7	50	0	4	10	Fire Ball	7	25	0	4	10																			2	2	2	1
Eastern Sorceror	Fire-Normal	100	15	359	3	1	49	252	merca222	merca241	1000	110	466	18	250	13	92	10	74	8	423	24	3	18	24	4	85	7	swor	shie	fire	10	Meditation	1	10	0	12	10	Inferno	7	50	0	12	10	Fire Ball	7	25	0	12	10																			2	2	2	1
Eastern Sorceror	Fire-Normal	100	15	359	3	1	79	252	merca222	merca241	1000	110	1006	27	640	25	130	10	104	8	1143	36	5	33	39	4	138	6	swor	shie	fire	10	Meditation	1	10	0	20	0	Inferno	7	50	0	20	0	Fire Ball	7	25	0	20	0																			2	2	2	1
Eastern Sorceror	Cold-Normal	100	16	359	3	1	15	252	merca222	merca241	1500	120	160	9	80	5	49	10	40	8	15	12		1	7	4	25	7	swor	shie	cold	10	Meditation	1	10	0	4	10	Ice Blast	7	50	0	4	10	Glacial Spike	7	25	0	4	10																			2	2	2	1
Eastern Sorceror	Cold-Normal	100	16	359	3	1	49	252	merca222	merca241	1500	120	466	18	250	13	92	10	74	8	423	24	3	18	24	4	85	7	swor	shie	cold	10	Meditation	1	10	0	12	10	Ice Blast	7	50	0	12	10	Glacial Spike	7	25	0	12	10																			2	2	2	1
Eastern Sorceror	Cold-Normal	100	16	359	3	1	79	252	merca222	merca241	1500	120	1006	27	640	25	130	10	104	8	1143	36	5	33	39	4	138	4	swor	shie	cold	10	Meditation	1	10	0	20	0	Ice Blast	7	50	0	20	0	Glacial Spike	7	25	0	20	0																			2	2	2	1
Eastern Sorceror	Ltng-Normal	100	17	359	3	1	15	252	merca222	merca241	1000	110	160	9	80	5	49	10	40	8	15	12		1	7	4	25	7	swor	shie	ltng	10	Meditation	1	10	0	4	10	Charged Bolt	7	50	0	4	10	Lightning	7	25	0	4	10																			2	2	2	1
Eastern Sorceror	Ltng-Normal	100	17	359	3	1	49	252	merca222	merca241	1000	110	466	18	250	13	92	10	74	8	423	24	3	18	24	4	85	7	swor	shie	ltng	10	Meditation	1	10	0	12	10	Charged Bolt	7	50	0	12	10	Lightning	7	25	0	12	10																			2	2	2	1
Eastern Sorceror	Ltng-Normal	100	17	359	3	1	79	252	merca222	merca241	1000	110	1006	27	640	25	130	10	104	8	1143	36	5	33	39	4	138	4	swor	shie	ltng	10	Meditation	1	10	0	20	0	Charged Bolt	7	50	0	20	0	Lightning	7	25	0	20	0																			2	2	2	1
Eastern Sorceror	Fire-Nightmare	100	18	359	3	2	49	252	merca222	merca241	9500	120	419	18	225	13	88	10	70	8	381	24	3	16	22	4	82	7	swor	shie	fire	10	Meditation	1	10	0	12	10	Inferno	7	50	0	12	10	Fire Ball	7	25	0	12	10																			2	2	2	1
Eastern Sorceror	Fire-Nightmare	100	18	359	3	2	79	252	merca222	merca241	9500	120	959	27	615	25	126	10	100	8	1101	36	5	31	37	4	135	4	swor	shie	fire	10	Meditation	1	10	0	20	0	Inferno	7	50	0	20	0	Fire Ball	7	25	0	20	0																			2	2	2	1
Eastern Sorceror	Cold-Nightmare	100	19	359	3	2	49	252	merca222	merca241	12000	130	419	18	225	13	88	10	70	8	381	24	3	16	22	4	82	7	swor	shie	cold	10	Meditation	1	10	0	12	10	Ice Blast	7	50	0	12	10	Glacial Spike	7	25	0	12	10																			2	2	2	1
Eastern Sorceror	Cold-Nightmare	100	19	359	3	2	79	252	merca222	merca241	12000	130	959	27	615	25	126	10	100	8	1101	36	5	31	37	4	135	4	swor	shie	cold	10	Meditation	1	10	0	20	0	Ice Blast	7	50	0	20	0	Glacial Spike	7	25	0	20	0																			2	2	2	1
Eastern Sorceror	Ltng-Nightmare	100	20	359	3	2	49	252	merca222	merca241	10000	120	419	18	225	13	88	10	70	8	381	24	3	16	22	4	82	7	swor	shie	ltng	10	Meditation	1	10	0	12	10	Charged Bolt	7	50	0	12	10	Lightning	7	25	0	12	10																			2	2	2	1
Eastern Sorceror	Ltng-Nightmare	100	20	359	3	2	79	252	merca222	merca241	10000	120	959	27	615	25	126	10	100	8	1101	36	5	31	37	4	135	4	swor	shie	ltng	10	Meditation	1	10	0	20	0	Charged Bolt	7	50	0	20	0	Lightning	7	25	0	20	0																			2	2	2	1
Eastern Sorceror	Fire-Hell	100	21	359	3	3	79	252	merca222	merca241	21000	130	863	27	554	25	122	10	96	8	991	36	5	29	35	4	132	4	swor	shie	fire	10	Meditation	1	10	0	20	0	Inferno	7	50	0	20	0	Fire Ball	7	25	0	20	0																			2	2	2	1
