Name	Id	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl1	MonLvl2	MonLvl3	MonLvl1Ex	MonLvl2Ex	MonLvl3Ex	MonDen	MonDen(N)	MonDen(H)	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	mon11	mon12	mon13	mon14	mon15	mon16	mon17	mon18	mon19	mon20	mon21	mon22	mon23	mon24	mon25	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	nmon11	nmon12	nmon13	nmon14	nmon15	nmon16	nmon17	nmon18	nmon19	nmon20	nmon21	nmon22	nmon23	nmon24	nmon25	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	umon11	umon12	umon13	umon14	umon15	umon16	umon17	umon18	umon19	umon20	umon21	umon22	umon23	umon24	umon25	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	EntryFile	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7	Beta
Act 1 - Cave 3	10					3	200	200	200	200	200	200	1500	1600		1				1	1	1		1	1	3	-1	-1	-1	-1	4	5			14				4	4	-1	-1	5	-1	-1	-1		255	255	255			1		2025	4	29	54	4	37	69	10000	10000	10000	99	99	99	99	99	99	1		13	bighead3	fallen2	corruptrogue2	sk_archer1																							bighead3	fallen2	corruptrogue2	sk_archer1																						bighead3	fallen2	corruptrogue2	sk_archer1																						rat	bat			30	30							0	4	255	Underground Passage Level 1	To Underground Passage Level 1	A1L10	6	4							30	3							1
Act 1 - Cave 4	11					4	200	200	200	200	200	200	1500	1900		1				1	1	1		1	1	3	-1	-1	-1	-1	6				15				4	-1	-1	-1	5	-1	-1	-1		255	255	255			1		2025	5	30	55	5	38	80	10000	10000	10000	99	99	99	99	99	99	1		13	bighead3	fallen2	brute2	cr_archer2																							bighead3	fallen2	brute2	cr_archer2																						bighead3	fallen2	brute2	cr_archer2																						rat	bat			30	30							0	4	255	Hole Level 1	To The Hole Level 1	A1L11	6	4							30	3							1
Act 1 - Cave 5	12					5	200	200	200	200	200	200	1500	2200		1				1	1	1		1	1	3	-1	-1	-1	-1	7				16				4	-1	-1	-1	5	-1	-1	-1		255	255	255			1		2025	7	32	57	7	39	85	10000	10000	10000	99	99	99	99	99	99	1		13	skeleton3	fallen3	corruptrogue3	cr_archer3																							skeleton3	fallen3	corruptrogue3	cr_archer3																						skeleton3	fallen3	corruptrogue3	cr_archer3																						rat	bat			30	30							0	4	255	Pit Level 1	To The Pit Level 1	A1L12	6	4							30	6							1
Act 1 - Cave 2 Treasure	13					6	24	24	24	24	24	24	1500	2500		1				1	1	1		1	2	3	-1	-1	-1	-1		9							-1	4	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	2	27	52	2	37	78	10000	10000	10000	99	99	99	99	99	99	1		13	skeleton1	zombie2	cr_archer1																								skeleton1	zombie2	cr_archer1																							skeleton1	zombie2	cr_archer1																							rat	bat			30	30							0	4	255	Cave Level 2	To The Cave Level 2	A1L14	6								25								1
Act 1 - Cave 3 Treasure	14					7	24	24	24	24	24	24	1500	2624		1				1	1	1		1	2	3	-1	-1	-1	-1		10							-1	4	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	4	29	54	4	38	83	10000	10000	10000	99	99	99	99	99	99	1		13	bighead3	fallen2	corruptrogue2	sk_archer1																							bighead3	fallen2	corruptrogue2	sk_archer1																						bighead3	fallen2	corruptrogue2	sk_archer1																						rat	bat			30	30							0	4	255	Underground Passage Level 2	To Underground Passage Level 2	A1L15	6								25								1
Act 1 - Cave 4 Treasure	15					8	24	24	24	24	24	24	1500	2748		1				1	1	1		1	2	3	-1	-1	-1	-1		11							-1	4	-1	-1	-1	-1	-1	-1		255	255	255			1		3800	5	30	55	5	39	81	10000	10000	10000	99	99	99	99	99	99	1		13	bighead3	fallen2	brute2	cr_archer2																							bighead3	fallen2	brute2	cr_archer2																						bighead3	fallen2	brute2	cr_archer2																						rat	bat			30	30							0	4	255	Hole Level 2	To The Hole Level 2	A1L16	6								25								1
Act 1 - Cave 5 Treasure	16					9	24	24	24	24	24	24	1500	2872		1				1	1	1		1	2	3	-1	-1	-1	-1		12							-1	4	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	7	32	57	7	40	85	10000	10000	10000	99	99	99	99	99	99	1		13	skeleton3	fallen3	corruptrogue3	cr_archer3																							skeleton3	fallen3	corruptrogue3	cr_archer3																						skeleton3	fallen3	corruptrogue3	cr_archer3																						rat	bat			30	30							0	4	255	Pit Level 2	To The Pit Level 2	A1L17	6	4							25	6							1
Act 1 - Graveyard	17						40	48	40	48	40	48	-1	-1		1	1				1	1	1		3	2	-1	-1	-1	-1	18	19							6	7	-1	-1	-1	-1	-1	-1							1		2025	3	28	53	3	36	80	10000	10000	10000	99	99	99	99	99	99	1		13	skeleton1	zombie2																									skeleton1	zombie2																								skeleton1	zombie2																																				0	2	255	Burial Grounds	To The Burial Grounds	A1L18																	1
Act 1 - Crypt 1 A	18					10	200	200	200	200	200	200	2000	1000		1				1	1	1		1	1	4	-1	-1	-1	-1	17								8	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	3	28	53	3	37	83	10000	10000	10000	99	99	99	99	99	99	1		13	skeleton1	zombie2																									skeleton1	zombie2																								skeleton1	zombie2																								rat	bat			30	30							8	5	255	Crypt	To The Crypt	A1L19	7	8	9	10					75	4	50	75					1
Act 1 - Crypt 2 A	19					11	200	200	200	200	200	200	2000	1300		1				1	1	1		1	1	4	-1	-1	-1	-1	17								8	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	3	28	53	3	37	85	10000	10000	10000	99	99	99	99	99	99	1		13	skeleton1	zombie2																									skeleton1	zombie2																								skeleton1	zombie2																								rat	bat			30	30							8	5	255	Mausoleum	To The Mausoleum	A1L20	7	8	9	10					75	4	50	75					1
Act 1 - Tower 2	20					12	8	8	8	8	8	8	2000	1600		1				1	1	1		1	2	2	-1	-1	-1	-1	6	21							11	12	-1	-1	-1	-1	-1	-1		255	255	255			1		1000	7	32	57																																																																																												rat	bat			30	30							0	5	255	Forgotten Tower	To The Forgotten Tower	A1L21																	1
Act 1 - Crypt 3 A	21					13	200	200	200	200	200	200	2500	1000		1				1	1	1		1	1	4	-1	-1	-1	-1	20	22							8	9	-1	-1	-1	-1	-1	-1		255	255	255			1		1000	7	32	57	7	38	75	10000	10000	10000	99	99	99	99	99	99	1		13	fallen3	wraith1	goatman3	cr_archer3																							fallen3	wraith1	goatman3	cr_archer3																						fallen3	wraith1	goatman3	cr_archer3																						rat	bat			30	30							8	5	255	Tower Cellar Level 1	To The Tower Cellar Level 1	A1L22	15								25								1
Act 1 - Crypt 3 B	22					14	200	200	200	200	200	200	2500	1300		1				1	1	1		1	1	4	-1	-1	-1	-1	21	23							8	9	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	7	32	57	7	39	76	10000	10000	10000	99	99	99	99	99	99	1		13	fallen3	wraith1	goatman3	cr_archer3																							fallen3	wraith1	goatman3	cr_archer3																						fallen3	wraith1	goatman3	cr_archer3																						rat	bat			30	30							8	5	255	Tower Cellar Level 2	To The Tower Cellar Level 2	A1L23	15								25								1
Act 1 - Crypt 3 C	23					15	200	200	200	200	200	200	2500	1600		1				1	1	1		1	1	4	-1	-1	-1	-1	22	24							8	9	-1	-1	-1	-1	-1	-1		255	255	255			1		1000	7	32	57	7	40	77	10000	10000	10000	99	99	99	99	99	99	1		13	fallen3	wraith1	goatman3	cr_archer3																							fallen3	wraith1	goatman3	cr_archer3																						fallen3	wraith1	goatman3	cr_archer3																						rat	bat			30	30							8	5	255	Tower Cellar Level 3	To The Tower Cellar Level 3	A1L24	15								25								1
Act 1 - Crypt 3 D	24					16	200	200	200	200	200	200	2500	1900		1				1	1	1		1	1	4	-1	-1	-1	-1	23	25							8	9	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	7	32	57	7	41	78	10000	10000	10000	99	99	99	99	99	99	1		13	fallen3	wraith1	goatman3	cr_archer3																							fallen3	wraith1	goatman3	cr_archer3																						fallen3	wraith1	goatman3	cr_archer3																						rat	bat			30	30							8	5	255	Tower Cellar Level 4	To The Tower Cellar Level 4	A1L25	15								25								1
Act 1 - Crypt 3 E	25					17	30	30	30	30	30	30	2500	2200		1				1	1	1		1	2	4	-1	-1	-1	-1	24								8	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		1000	7	32	57	7	42	79	10000	10000	10000	99	99	99	99	99	99	1		13	fallen3	wraith1	goatman3	cr_archer3																							fallen3	wraith1	goatman3	cr_archer3																						fallen3	wraith1	goatman3	cr_archer3																						rat	bat			30	30							8	5	255	Tower Cellar Level 5	To The Tower Cellar Level 5	A1L26	15								25								1
Act 1 - Monastery	26						64	18	64	18	64	18	3000	1000		1				1	1	1			2	5	-1	-1	-1	-1		27							-1	-1	-1	-1	-1	-1	-1	-1							1		2025	8	33	58	8	40	70	10000	10000	10000	99	99	99	99	99	99	1		13	bighead4	corruptrogue3	sk_archer2	skmage_ltng1																							bighead4	corruptrogue3	sk_archer2	skmage_ltng1																						bighead4	corruptrogue3	sk_archer2	skmage_ltng1																																		48	6	255	Monastery Gate	To The Monastery Gate	A1L27																	1
Act 1 - Courtyard 1	27						56	40	56	40	56	40		-40	26	1				1	1	1			2	6	-1	-1	-1	-1	26	28							-1	-1	-1	-1	-1	-1	-1	-1					1		1		2025	9	34	59	9	40	70	10000	10000	10000	99	99	99	99	99	99	1		13	brute3	corruptrogue4	fallenshaman3	quillrat4																							brute3	corruptrogue4	fallenshaman3	quillrat4																						brute3	corruptrogue4	fallenshaman3	quillrat4																																		0	7	5	Outer Cloister	To The Outer Cloister	A1L28	14	15							7	33							1
Act 1 - Barracks	28						200	200	200	200	200	200	-1	-1		1				1	1	1		1	1	7	-1	-1	-1	-1	27	29							-1	14	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	9	34	59	9	40	70	10000	10000	10000	99	99	99	99	99	99	1		13	corruptrogue4	goatman5	fallenshaman3	sk_archer3	skmage_fire2																						corruptrogue4	goatman5	fallenshaman3	sk_archer3	skmage_fire2																					corruptrogue4	goatman5	fallenshaman3	sk_archer3	skmage_fire2																					rat	bat			30	30							8	8	255	Barracks	To The Barracks	A1L29	51	3	17						9	35	25						1
Act 1 - Jail 1	29					18	200	200	200	200	200	200	3500	1000		1				1	1	1		1	1	8	-1	-1	-1	-1	28	30							13	14	-1	-1	-1	-1	-1	-1		255	255	255	1		1		2025	10	35	60	10	41	71	10000	10000	10000	99	99	99	99	99	99	1	1	13	fallen4	wraith2	goatman5	sk_archer3	skmage_fire2																						fallen4	wraith2	goatman5	sk_archer3	skmage_fire2																					fallen4	wraith2	goatman5	sk_archer3	skmage_fire2																					rat	bat			30	30							8	8	6	Jail Level 1	To The Jail Level 1	A1L30	51	15	3						11	50	35						1
Act 1 - Jail 2	30					19	200	200	200	200	200	200	3500	1300		1				1	1	1		1	1	8	-1	-1	-1	-1	29	31							13	14	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	10	35	60	10	41	71	10000	10000	10000	99	99	99	99	99	99	1	1	13	fallen4	wraith2	goatman5	sk_archer3	skmage_fire2																						fallen4	wraith2	goatman5	sk_archer3	skmage_fire2																					fallen4	wraith2	goatman5	sk_archer3	skmage_fire2																					rat	bat			30	30							8	8	255	Jail Level 2	To The Jail Level 2	A1L31	51	15	3						13	50	45						1
Act 1 - Jail 3	31					20	200	200	200	200	200	200	3500	1600		1				1	1	1		1	1	8	-1	-1	-1	-1	30	32							13	13	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	10	35	60	10	41	71	10000	10000	10000	99	99	99	99	99	99	1	1	13	fallen4	wraith2	goatman5	sk_archer3	skmage_ltng2																						fallen4	wraith2	goatman5	sk_archer3	skmage_ltng2																					fallen4	wraith2	goatman5	sk_archer3	skmage_ltng2																					rat	bat			30	30							0	8	255	Jail Level 3	To The Jail Level 3	A1L32	51	15	3						15	50	55						1
Act 1 - Courtyard 2	32						18	20	18	20	18	20	4000	1000		1				1	1	1			2	6	-1	-1	-1	-1	31	33							14	-1	-1	-1	-1	-1	-1	-1							1		2025	10	35	60	10	41	72	10000	10000	10000	99	99	99	99	99	99	1		13	fallen4	cr_archer4	skmage_ltng2																								fallen4	cr_archer4	skmage_ltng2																							fallen4	cr_archer4	skmage_ltng2																																			0	7	7	Inner Cloister	To The Inner Cloister	A1L33																	1
Act 1 - Cathedral	33						28	34	28	34	28	34	-4	-34	32	1				1	1	1		1	2	9	-1	-1	-1	-1	32	34							-1	15	-1	-1	-1	-1	-1	-1		255	255	255	1		1		2025	11	36	61	11	42	72	10000	10000	10000	99	99	99	99	99	99	1		13	bighead2	wraith2	fallenshaman4																								bighead2	wraith2	fallenshaman4																							bighead2	wraith2	fallenshaman4																							rat	bat			30	30							0	9	255	Cathedral	To The Cathedral	A1L34	16	3	50	17					35	45	3	3					1
Act 1 - Catacombs 1	34					21	200	200	200	200	200	200	4500	1000		1				1	1	1		1	1	10	-1	-1	-1	-1	33	35							16	18	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	11	36	61	11	42	72	10000	10000	10000	99	99	99	99	99	99	1		13	bighead2	fallenshaman4	fetish1																								bighead2	fallenshaman4	fetish1																							bighead2	fallenshaman4	fetish1																							rat	bat			30	30							60	10	255	Catacombs Level 1	To The Catacombs Level 1	A1L35	16	3	14	17					40	45	15	3					1
Act 1 - Catacombs 2	35					22	200	200	200	200	200	200	4500	1300		1				1	1	1		1	1	10	-1	-1	-1	-1	34	36							17	18	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	11	36	61	11	42	73	10000	10000	10000	99	99	99	99	99	99	1		13	bighead2	fallenshaman4	arach1																								bighead2	fallenshaman4	arach1																							bighead2	fallenshaman4	arach1																							rat	bat			30	30							60	10	8	Catacombs Level 2	To The Catacombs Level 2	A1L36	16	3	14	17					45	45	17	3					1
Act 1 - Catacombs 3	36					23	200	200	200	200	200	200	4500	1600		1				1	1	1		1	1	10	-1	-1	-1	-1	35	37							17	18	-1	-1	-1	-1	-1	-1		255	255	255	1		1		2025	12	37	62	12	43	73	10000	10000	10000	99	99	99	99	99	99	1		13	zombie3	bighead1	vampire5																								zombie3	bighead1	vampire5																							zombie3	bighead1	vampire5																							rat	bat			30	30							60	10	255	Catacombs Level 3	To The Catacombs Level 3	A1L37	16	3	14	17					50	45	19	3					1
Act 1 - Catacombs 4	37					24	22	31	22	31	22	31	4500	1900		1				1	1	1		1	2	10	-1	-1	-1	-1	36								17	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	12	37	62	12	43	73	10000	10000	10000	99	99	99	99	99	99	1		13	zombie3	bighead1																									zombie3	bighead1																								zombie3	bighead1																								rat	bat			30	30							60	10	255	Catacombs Level 4	To The Catacombs Level 4	A1L38	16	3	14	17					55	45	1	3					1
Act 1 - Tristram	38					25	43	48	43	48	43	48	5000	1000		1	1				1	1	1		2	11	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1						1	1		2025	6	31	56	6	39	76	10000	10000	10000	99	99	99	99	99	99			13	skeleton2	goatman2	fallenshaman2	sk_archer1																							skeleton2	goatman2	fallenshaman2	sk_archer1																						skeleton2	goatman2	fallenshaman2	sk_archer1																																		0	3	255	Tristram	To Tristram	A1L39	44	45							33	1							1
Act 1 - Moo Moo Farm	39			26	40	26	80	80	80	80	80	80	5000	1148		1	1				1	1			3	2	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1							1		2025	28	53	78	28	64	81	10000	10000	10000	99	99	99	99	99	99	1		13	hellbovine	hellbovine	hellbovine																								hellbovine	hellbovine	hellbovine																							hellbovine	hellbovine	hellbovine																																			0	34	255	Moo Moo Farm	To The Moo Moo Farm	A1L40	1	38	33	34					5	35	35	35					0
Act 2 - Town	40	1	1			27	56	56	56	56	56	56	1000	1000		1					1	1	1		2	12	-1	-1	-1	-1			47	47	50				-1	-1	19	20	24	-1	-1	-1					1	1			2025		25	50																																																																																												bug				30								0	12	9	Lut Gholein	To Lut Gholein	A2L1																	0
Act 2 - Desert 1	41	1	1			27	80	80	80	80	80	80	-1	-1		1					1	1	1		3	16	9		7	8	55	55	55	55					33	34	35	36	-1	-1	-1	-1							1		2025	14	39	64	14	43	75	10000	10000	10000	99	99	99	99	99	99	1		13	sandleaper1	pantherwoman1	scarab1	vulture1	slinger1																						sandleaper1	pantherwoman1	scarab1	vulture1	slinger1																					sandleaper1	pantherwoman1	scarab1	vulture1	slinger1																					scorpion				20								0	13	255	Rocky Waste	To The Rocky Waste	A2L2	24	32	37	36					30	15	40	40					0
Act 2 - Desert 2	42	1	1			27	80	80	80	80	80	80	-1	-1		1					1	1	1		3	16	9	1	7	8	56	56	56	56					33	34	35	36	-1	-1	-1	-1							1		2025	15	40	65	15	44	76	10000	10000	10000	99	99	99	99	99	99	1		13	sandleaper2	pantherwoman2	vulture2	slinger5																							sandleaper2	pantherwoman2	vulture2	slinger5																						sandleaper2	pantherwoman2	vulture2	slinger5																						scorpion				20								0	13	11	Dry Hills	To The Dry Hills	A2L3	24	32	37	36					30	14	40	40					0
Act 2 - Desert 3	43	1	1			27	80	80	80	80	80	80	-1	-1		1					1	1	1		3	16	9	2	7	8					62				-1	-1	-1	-1	47	-1	-1	-1					1		1		2025	16	41	66	16	45	76	10000	10000	10000	99	99	99	99	99	99	1		13	crownest3	sandmaggot1	swarm1	scarab2	vulture2																						crownest3	sandmaggot1	swarm1	scarab2	vulture2																					foulcrow3	sandmaggot1	swarm1	scarab2	vulture2																					scorpion				20								0	13	13	Far Oasis	To The Far Oasis	A2L4	24	32	37	36					30	13	40	40					0
Act 2 - Desert 4	44	1	1			27	80	80	80	80	80	80	-1	-1		1					1	1	1		3	16	9	3	7	8			65						-1	-1	50	-1	-1	-1	-1	-1							1		3800	17	42	67	17	46	77	10000	10000	10000	99	99	99	99	99	99	1		13	zombie5	sandraider2	sandleaper3	pantherwoman3	slinger6																						zombie5	sandraider2	sandleaper3	pantherwoman3	slinger6																					zombie5	sandraider2	sandleaper3	pantherwoman3	slinger6																					scorpion				20								0	13	14	Lost City	To The Lost City	A2L5	24	32	37	36					30	12	40	40					0
Act 2 - Desert 5	45	1	1			27	32	32	32	32	32	32	-1	-1		1					1	1	1		3	16	-1	-1	-1	8		58							-1	37	-1	-1	-1	-1	-1	-1					1		1		2025	18	43	68	18	46	77	10000	10000	10000	99	99	99	99	99	99	1		13	clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler2																					clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler2																				clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler2																				scorpion				20								0	13	255	Valley of Snakes	To The Valley of Snakes	A2L6	24	32	37	36					30	11	40	40					0
Act 2 - Valley of the Kings	46	1	1	13	13	28	80	80	80	80	80	80	2500	1000		1			1		1	1	1		3	16	9	4	7	8		66	67	68	69	70	71	72	-1	38	39	40	41	42	43	44					1	1	1		3800	16	41	66	16	48	79	10000	10000	10000	99	99	99	99	99	99	1		13	brute4	sandmaggot3	pantherwoman4	scarab4	slinger4																						brute4	sandmaggot3	pantherwoman4	scarab4	slinger4																					brute4	sandmaggot3	pantherwoman4	scarab4	slinger4																					scorpion				20								0	14	17	Canyon of the Magi	To The Canyon of the Magi	A2L7	24	32	37	36					30	10	40	40					0
Act 2 - Sewer 1 A	47	1	1			29	200	200	200	200	200	200	1500	1000		1				1	1	1		1	1	13	-1	-1	-1	-1	40	40	48						22	21	23	-1	-1	-1	-1	-1	8	255	255	255			1		1000	13	38	63	13	43	74	10000	10000	10000	99	99	99	99	99	99	1		13	skeleton4	sandraider1	mummy1	sk_archer4																							skeleton4	sandraider1	mummy1	sk_archer4																						skeleton4	sandraider1	mummy1	sk_archer4																						rat	bat	scorpion		30	100	20						0	15	255	Sewers Level 1	To The Sewers Level 1	A2L8	32	26	5						10	10	10						0
