Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
80	742730244	742730244	742730244	742730244	742730244	742730244	742730244	1024
81	809986056	809986056	809986056	809986056	809986056	809986056	809986056	1024
82	883294891	883294891	883294891	883294891	883294891	883294891	883294891	1024
83	963201521	963201521	963201521	963201521	963201521	963201521	963201521	1024
84	1050299747	1050299747	1050299747	1050299747	1050299747	1050299747	1050299747	1024
85	1145236814	1145236814	1145236814	1145236814	1145236814	1145236814	1145236814	1024
86	1248718217	1248718217	1248718217	1248718217	1248718217	1248718217	1248718217	1024
87	1361512946	1361512946	1361512946	1361512946	1361512946	1361512946	1361512946	1024
88	1484459201	1484459201	1484459201	1484459201	1484459201	1484459201	1484459201	1024
89	1618470619	1618470619	1618470619	1618470619	1618470619	1618470619	1618470619	1024
90	1764543065	1764543065	1764543065	1764543065	1764543065	1764543065	1764543065	1024
91	1923762030	1923762030	1923762030	1923762030	1923762030	1923762030	1923762030	1024
92	2097310703	2097310703	2097310703	2097310703	2097310703	2097310703	2097310703	1024
93	2286478756	2286478756	2286478756	2286478756	2286478756	2286478756	2286478756	1024
94	2492671933	2492671933	2492671933	2492671933	2492671933	2492671933	2492671933	1024
95	2717422497	2717422497	2717422497	2717422497	2717422497	2717422497	2717422497	1024
96	2962400612	2962400612	2962400612	2962400612	2962400612	2962400612	2962400612	1024
97	3229426756	3229426756	3229426756	3229426756	3229426756	3229426756	3229426756	1024
98	3520485254	3520485254	3520485254	3520485254	3520485254	3520485254	3520485254	1024
99	3837739017	3837739017	3837739017	3837739017	3837739017	3837739017	3837739017	1024
